,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3700,0.4928,0.6083,0.2968,0.5468,0.5270,0.3737,0.4398,0.6113,0.4775,0.7374,0.6281
DecisionTreeRegressor,0.8065,0.6899,0.8981,-0.5328,0.3194,0.2568,0.4590,0.5430,0.6775,0.3581,0.6070,0.6033
RandomForestRegressor,0.3938,0.5293,0.6275,0.2517,0.5118,0.4664,0.3954,0.4956,0.6288,0.4471,0.7114,0.6529
GradientBoostingRegressor,0.4205,0.5266,0.6485,0.2008,0.5127,0.4816,0.3698,0.4539,0.6081,0.4829,0.7346,0.6694
AdaBoostRegressor,0.4019,0.4940,0.6339,0.2363,0.5010,0.4796,0.3745,0.4523,0.6120,0.4763,0.7308,0.6474
XGBRegressor,0.3905,0.5083,0.6249,0.2578,0.5528,0.4120,0.4608,0.4876,0.6788,0.3556,0.6015,0.4298
ExtraTreesRegressor,0.3290,0.4536,0.5736,0.3748,0.6163,0.5515,0.3884,0.4593,0.6232,0.4569,0.6955,0.6088
LinearRegression,0.6023,0.6288,0.7761,-0.1447,0.4724,0.5239,0.3999,0.4555,0.6324,0.4408,0.7456,0.8843
KNeighborsRegressor,0.3980,0.4920,0.6309,0.2435,0.5158,0.5162,0.4301,0.5101,0.6558,0.3986,0.6511,0.5034
SVR,0.4148,0.5181,0.6441,0.2116,0.4668,0.4735,0.3905,0.4594,0.6249,0.4539,0.7474,0.7190
MLPRegressor,1.2304,0.8988,1.1092,-1.3384,0.3372,0.3496,1.0764,0.7222,1.0375,-0.5052,0.1990,0.3251
