,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3933,0.5254,0.6271,0.2526,0.5069,0.4386,0.4238,0.5390,0.6510,0.4074,0.7227,0.5978
DecisionTreeRegressor,0.7100,0.6350,0.8426,-0.3493,0.4248,0.3161,0.5541,0.6485,0.7444,0.2252,0.5156,0.4601
RandomForestRegressor,0.3734,0.5188,0.6111,0.2903,0.5538,0.5613,0.4274,0.5589,0.6538,0.4023,0.6781,0.5096
GradientBoostingRegressor,0.4156,0.5130,0.6446,0.2102,0.5592,0.5024,0.4229,0.5157,0.6503,0.4087,0.6619,0.6171
AdaBoostRegressor,0.2997,0.4128,0.5475,0.4304,0.6594,0.6374,0.4199,0.5106,0.6480,0.4129,0.6615,0.5372
XGBRegressor,0.5808,0.5488,0.7621,-0.1038,0.4007,0.4593,0.4503,0.5597,0.6710,0.3703,0.6267,0.6336
ExtraTreesRegressor,0.2707,0.4225,0.5203,0.4855,0.7030,0.6214,0.4210,0.5100,0.6489,0.4113,0.6539,0.5207
LinearRegression,0.7161,0.6443,0.8462,-0.3610,0.5009,0.4670,0.7401,0.6689,0.8603,-0.0349,0.6151,0.7328
KNeighborsRegressor,0.3719,0.4712,0.6099,0.2932,0.5672,0.5496,0.4758,0.5532,0.6898,0.3347,0.5938,0.4242
SVR,0.4283,0.5200,0.6545,0.1859,0.4389,0.4848,0.4335,0.4890,0.6584,0.3938,0.6628,0.5647
MLPRegressor,0.8584,0.7342,0.9265,-0.6315,0.4443,0.3715,0.2814,0.3529,0.5305,0.6064,0.8386,0.8209
