,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3748,0.4948,0.6122,0.2878,0.5398,0.5426,0.4175,0.4948,0.6462,0.4162,0.7307,0.5840
DecisionTreeRegressor,0.8636,0.6501,0.9293,-0.6412,0.3041,0.3343,0.4001,0.5037,0.6326,0.4405,0.6822,0.6584
RandomForestRegressor,0.3372,0.4778,0.5807,0.3592,0.6076,0.6102,0.3907,0.5047,0.6251,0.4536,0.7189,0.5620
GradientBoostingRegressor,0.3976,0.4884,0.6306,0.2443,0.5946,0.5192,0.3693,0.4832,0.6077,0.4836,0.7266,0.6612
AdaBoostRegressor,0.2868,0.4182,0.5355,0.4549,0.6812,0.5996,0.4199,0.5085,0.6480,0.4128,0.6622,0.4876
XGBRegressor,0.3626,0.4799,0.6022,0.3108,0.5804,0.5264,0.3581,0.4617,0.5984,0.4993,0.7358,0.6915
ExtraTreesRegressor,0.2842,0.4491,0.5331,0.4599,0.6861,0.6242,0.4008,0.4845,0.6331,0.4396,0.6838,0.6033
LinearRegression,0.8407,0.6964,0.9169,-0.5978,0.5642,0.5049,1.3907,0.7864,1.1793,-0.9447,0.5372,0.6749
KNeighborsRegressor,0.3928,0.5055,0.6267,0.2536,0.5195,0.4762,0.4258,0.5078,0.6525,0.4046,0.6611,0.5255
SVR,0.3948,0.4856,0.6283,0.2497,0.5055,0.5270,0.4371,0.5047,0.6611,0.3888,0.6561,0.5179
MLPRegressor,0.8676,0.7333,0.9315,-0.6490,0.4046,0.3896,0.5955,0.6238,0.7717,0.1673,0.6531,0.7410
