,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.4099,0.5167,0.6402,0.2211,0.4759,0.4402,0.4216,0.5234,0.6493,0.4105,0.7188,0.5785
DecisionTreeRegressor,0.5081,0.5140,0.7128,0.0344,0.4303,0.4612,0.3868,0.5053,0.6219,0.4591,0.7021,0.5344
RandomForestRegressor,0.3347,0.4884,0.5786,0.3638,0.6098,0.6179,0.4080,0.5468,0.6387,0.4295,0.7005,0.4490
GradientBoostingRegressor,0.4037,0.5185,0.6354,0.2328,0.5667,0.5197,0.4270,0.5313,0.6535,0.4029,0.6456,0.5262
AdaBoostRegressor,0.3347,0.4398,0.5785,0.3640,0.6163,0.5934,0.4206,0.5174,0.6485,0.4118,0.6629,0.4849
XGBRegressor,0.3791,0.4879,0.6157,0.2794,0.5641,0.5040,0.4614,0.5474,0.6793,0.3548,0.5982,0.4931
ExtraTreesRegressor,0.2946,0.4264,0.5428,0.4401,0.6740,0.6291,0.4182,0.5101,0.6467,0.4152,0.6568,0.4959
LinearRegression,0.6417,0.6156,0.8011,-0.2196,0.5506,0.5075,0.6044,0.5843,0.7774,0.1549,0.6205,0.7548
KNeighborsRegressor,0.3735,0.4726,0.6112,0.2901,0.5652,0.5392,0.4921,0.5664,0.7015,0.3119,0.5695,0.3931
SVR,0.4113,0.5090,0.6413,0.2183,0.4738,0.5003,0.4351,0.4950,0.6596,0.3916,0.6575,0.5592
MLPRegressor,1.0133,0.8022,1.0066,-0.9258,0.4521,0.3887,1.0021,0.7640,1.0011,-0.4013,0.4799,0.5344
