,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3761,0.5041,0.6133,0.2852,0.5379,0.5294,0.4440,0.5503,0.6663,0.3791,0.6770,0.6722
DecisionTreeRegressor,0.6402,0.6086,0.8001,-0.2166,0.5461,0.4939,0.4588,0.5859,0.6774,0.3584,0.6237,0.4986
RandomForestRegressor,0.3707,0.5089,0.6089,0.2954,0.5605,0.5828,0.4424,0.5648,0.6651,0.3813,0.6513,0.5482
GradientBoostingRegressor,0.4335,0.5166,0.6584,0.1761,0.5616,0.5126,0.4094,0.5285,0.6399,0.4275,0.6778,0.4986
AdaBoostRegressor,0.2740,0.4077,0.5234,0.4793,0.6973,0.6391,0.4744,0.5656,0.6887,0.3367,0.5906,0.5482
XGBRegressor,0.5230,0.5652,0.7232,0.0061,0.4340,0.4357,0.3982,0.5155,0.6310,0.4432,0.6913,0.6006
ExtraTreesRegressor,0.2782,0.4294,0.5274,0.4713,0.6922,0.6403,0.4182,0.5155,0.6467,0.4152,0.6583,0.5152
LinearRegression,0.9826,0.7372,0.9913,-0.8675,0.3884,0.4132,0.9013,0.6834,0.9493,-0.2603,0.5725,0.7163
KNeighborsRegressor,0.3931,0.4924,0.6270,0.2528,0.5280,0.5086,0.4520,0.5534,0.6723,0.3679,0.6281,0.4455
SVR,0.4242,0.5162,0.6513,0.1937,0.4461,0.4680,0.4320,0.4864,0.6572,0.3960,0.6666,0.5647
MLPRegressor,0.8972,0.7409,0.9472,-0.7052,0.3365,0.2927,0.6531,0.6695,0.8081,0.0867,0.5171,0.5565
