,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3890,0.4981,0.6237,0.2606,0.5133,0.4845,0.4143,0.5238,0.6436,0.4207,0.7371,0.5620
DecisionTreeRegressor,0.4938,0.5159,0.7027,0.0616,0.4811,0.4415,0.4517,0.5317,0.6721,0.3684,0.6119,0.5262
RandomForestRegressor,0.3331,0.4692,0.5771,0.3670,0.6136,0.6254,0.4263,0.5518,0.6529,0.4038,0.6680,0.4986
GradientBoostingRegressor,0.3883,0.4936,0.6231,0.2621,0.5864,0.5577,0.4396,0.5353,0.6630,0.3853,0.6287,0.4601
AdaBoostRegressor,0.3213,0.4465,0.5668,0.3894,0.6268,0.6169,0.4862,0.5602,0.6973,0.3201,0.5693,0.4380
XGBRegressor,0.2819,0.4264,0.5310,0.4642,0.6961,0.6395,0.4041,0.5132,0.6357,0.4349,0.6760,0.5537
ExtraTreesRegressor,0.2854,0.4184,0.5343,0.4575,0.6807,0.6543,0.3990,0.5087,0.6317,0.4420,0.6851,0.5262
LinearRegression,0.6591,0.5839,0.8119,-0.2527,0.5359,0.5682,0.6412,0.5974,0.8007,0.1034,0.6246,0.7273
KNeighborsRegressor,0.3601,0.4519,0.6001,0.3155,0.5698,0.5291,0.4589,0.5470,0.6774,0.3583,0.6218,0.4325
SVR,0.4066,0.5029,0.6377,0.2272,0.4823,0.5094,0.4276,0.4890,0.6539,0.4021,0.6681,0.5675
MLPRegressor,0.6186,0.5941,0.7865,-0.1757,0.5358,0.4726,0.4546,0.5525,0.6742,0.3643,0.6600,0.7273
