,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3890,0.4981,0.6237,0.2606,0.5133,0.4845,0.4143,0.5238,0.6436,0.4207,0.7371,0.5620
DecisionTreeRegressor,0.5161,0.5478,0.7184,0.0192,0.4715,0.4666,0.4294,0.5093,0.6553,0.3995,0.6400,0.5565
RandomForestRegressor,0.3400,0.4771,0.5831,0.3538,0.6009,0.6095,0.4273,0.5543,0.6537,0.4025,0.6663,0.4601
GradientBoostingRegressor,0.3914,0.5015,0.6256,0.2561,0.5794,0.5453,0.4292,0.5362,0.6551,0.3998,0.6442,0.4904
AdaBoostRegressor,0.2956,0.4226,0.5437,0.4382,0.6700,0.6129,0.4445,0.5447,0.6667,0.3785,0.6298,0.4380
XGBRegressor,0.2819,0.4264,0.5310,0.4642,0.6961,0.6395,0.4041,0.5132,0.6357,0.4349,0.6760,0.5537
ExtraTreesRegressor,0.3142,0.4417,0.5605,0.4029,0.6428,0.6056,0.4035,0.5032,0.6352,0.4357,0.6791,0.5455
LinearRegression,0.6591,0.5839,0.8119,-0.2527,0.5359,0.5682,0.6412,0.5974,0.8007,0.1034,0.6246,0.7273
KNeighborsRegressor,0.3601,0.4519,0.6001,0.3155,0.5698,0.5291,0.4589,0.5470,0.6774,0.3583,0.6218,0.4325
SVR,0.4066,0.5029,0.6377,0.2272,0.4823,0.5094,0.4276,0.4890,0.6539,0.4020,0.6681,0.5675
MLPRegressor,0.8598,0.7486,0.9272,-0.6340,0.4165,0.3675,0.5094,0.5737,0.7137,0.2877,0.6514,0.6777
