,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3812,0.5080,0.6174,0.2755,0.5292,0.4528,0.4465,0.5559,0.6682,0.3756,0.6943,0.5289
DecisionTreeRegressor,0.5592,0.5375,0.7478,-0.0628,0.4222,0.3651,0.4604,0.5294,0.6785,0.3562,0.6113,0.5069
RandomForestRegressor,0.3462,0.5012,0.5884,0.3421,0.5973,0.5765,0.4480,0.5723,0.6693,0.3736,0.6464,0.4711
GradientBoostingRegressor,0.3641,0.4756,0.6034,0.3080,0.6140,0.4804,0.4180,0.5070,0.6465,0.4156,0.6688,0.6309
AdaBoostRegressor,0.2815,0.4132,0.5306,0.4650,0.6852,0.6150,0.4486,0.5308,0.6698,0.3727,0.6269,0.5041
XGBRegressor,0.3266,0.4587,0.5715,0.3793,0.6311,0.5505,0.4142,0.5109,0.6436,0.4208,0.6645,0.6253
ExtraTreesRegressor,0.2794,0.4255,0.5286,0.4690,0.7002,0.5894,0.4407,0.5224,0.6638,0.3838,0.6287,0.5041
LinearRegression,0.7700,0.6871,0.8775,-0.4635,0.4850,0.4387,0.6326,0.5449,0.7954,0.1154,0.5190,0.6309
KNeighborsRegressor,0.3662,0.4760,0.6052,0.3040,0.5683,0.5653,0.4787,0.5565,0.6919,0.3306,0.5897,0.4041
SVR,0.4355,0.5235,0.6599,0.1724,0.4258,0.4623,0.4358,0.4972,0.6601,0.3906,0.6629,0.4959
MLPRegressor,0.9035,0.7440,0.9505,-0.7171,0.4415,0.3758,0.4101,0.4621,0.6404,0.4265,0.6700,0.6997
