,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3817,0.4985,0.6178,0.2746,0.5256,0.4980,0.4398,0.5388,0.6632,0.3850,0.6853,0.5344
DecisionTreeRegressor,0.5060,0.5315,0.7114,0.0383,0.4671,0.4396,0.4587,0.5102,0.6773,0.3586,0.6016,0.4711
RandomForestRegressor,0.3332,0.4791,0.5772,0.3668,0.6122,0.5728,0.4266,0.5518,0.6532,0.4034,0.6662,0.4105
GradientBoostingRegressor,0.3624,0.4839,0.6020,0.3112,0.5860,0.5260,0.4569,0.5408,0.6760,0.3611,0.6059,0.5620
AdaBoostRegressor,0.2681,0.4101,0.5178,0.4904,0.7115,0.5712,0.4358,0.5311,0.6602,0.3905,0.6382,0.4766
XGBRegressor,0.3711,0.4853,0.6092,0.2947,0.5676,0.4486,0.4724,0.5485,0.6873,0.3394,0.5845,0.4766
ExtraTreesRegressor,0.2739,0.4214,0.5233,0.4795,0.7038,0.6176,0.4474,0.5297,0.6689,0.3744,0.6180,0.4683
LinearRegression,0.7382,0.6873,0.8592,-0.4029,0.5518,0.4772,0.5374,0.4869,0.7331,0.2485,0.5768,0.6667
KNeighborsRegressor,0.3760,0.4833,0.6131,0.2855,0.5561,0.5480,0.4782,0.5533,0.6915,0.3313,0.5909,0.3931
SVR,0.4131,0.5110,0.6427,0.2150,0.4705,0.4998,0.4438,0.5036,0.6662,0.3794,0.6465,0.5179
MLPRegressor,0.8202,0.7190,0.9056,-0.5588,0.4946,0.4138,0.5013,0.5204,0.7080,0.2991,0.6059,0.6860
