,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3817,0.4985,0.6178,0.2746,0.5256,0.4980,0.4398,0.5388,0.6632,0.3850,0.6853,0.5344
DecisionTreeRegressor,0.5930,0.5453,0.7701,-0.1270,0.3936,0.3285,0.4594,0.4983,0.6778,0.3576,0.6001,0.5427
RandomForestRegressor,0.3190,0.4662,0.5648,0.3937,0.6323,0.5914,0.4238,0.5491,0.6510,0.4074,0.6698,0.3719
GradientBoostingRegressor,0.3516,0.4760,0.5929,0.3318,0.6027,0.5374,0.4506,0.5399,0.6713,0.3699,0.6149,0.5399
AdaBoostRegressor,0.2577,0.4007,0.5076,0.5103,0.7244,0.5764,0.4712,0.5509,0.6864,0.3412,0.5881,0.4380
XGBRegressor,0.3711,0.4853,0.6092,0.2947,0.5676,0.4486,0.4724,0.5485,0.6873,0.3394,0.5845,0.4766
ExtraTreesRegressor,0.2886,0.4302,0.5372,0.4515,0.6869,0.6068,0.4316,0.5261,0.6570,0.3964,0.6394,0.4711
LinearRegression,0.7382,0.6873,0.8592,-0.4029,0.5518,0.4772,0.5374,0.4869,0.7331,0.2485,0.5768,0.6667
KNeighborsRegressor,0.3760,0.4833,0.6131,0.2855,0.5561,0.5480,0.4782,0.5533,0.6915,0.3313,0.5909,0.3931
SVR,0.4131,0.5110,0.6427,0.2149,0.4704,0.4998,0.4438,0.5036,0.6662,0.3794,0.6465,0.5179
MLPRegressor,0.7862,0.6951,0.8867,-0.4942,0.5156,0.4605,0.7716,0.6568,0.8784,-0.0789,0.4689,0.5124
