,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.4257,0.5454,0.6524,0.1910,0.4398,0.3893,0.5405,0.6220,0.7352,0.2442,0.5818,0.5269
DecisionTreeRegressor,0.5794,0.5673,0.7612,-0.1013,0.3326,0.4084,0.5772,0.5917,0.7597,0.1929,0.4996,0.4160
RandomForestRegressor,0.3926,0.5160,0.6266,0.2539,0.5149,0.5363,0.4839,0.5994,0.6957,0.3233,0.5902,0.4821
GradientBoostingRegressor,0.4506,0.5101,0.6713,0.1436,0.4645,0.5062,0.4464,0.5131,0.6682,0.3757,0.6253,0.4490
AdaBoostRegressor,0.4021,0.4903,0.6341,0.2359,0.5441,0.4896,0.4590,0.5305,0.6775,0.3581,0.6076,0.4490
XGBRegressor,0.4450,0.5353,0.6671,0.1542,0.4872,0.5157,0.4429,0.5244,0.6655,0.3806,0.6300,0.5096
ExtraTreesRegressor,0.3478,0.4762,0.5898,0.3389,0.6321,0.5128,0.4259,0.5168,0.6526,0.4044,0.6500,0.5179
LinearRegression,2.4637,1.0022,1.5696,-3.6824,0.2721,0.3539,1.9701,1.0254,1.4036,-1.7549,0.2981,0.4160
KNeighborsRegressor,0.4006,0.5178,0.6329,0.2386,0.5071,0.4931,0.4219,0.4874,0.6496,0.4100,0.6734,0.5421
SVR,0.4159,0.4985,0.6449,0.2095,0.4634,0.5206,0.4562,0.4984,0.6754,0.3620,0.6258,0.5289
MLPRegressor,0.8115,0.6871,0.9009,-0.5424,0.3614,0.3857,1.2882,0.8149,1.1350,-0.8013,0.3793,0.4711
