,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.4313,0.5454,0.6567,0.1804,0.4263,0.3701,0.5485,0.6238,0.7406,0.2330,0.5655,0.4910
DecisionTreeRegressor,0.5578,0.5587,0.7469,-0.0602,0.4193,0.3700,0.4829,0.5614,0.6949,0.3247,0.6208,0.5234
RandomForestRegressor,0.3615,0.4979,0.6013,0.3129,0.5667,0.5596,0.4569,0.5781,0.6759,0.3611,0.6295,0.3857
GradientBoostingRegressor,0.3966,0.4862,0.6298,0.2463,0.5499,0.5252,0.4352,0.5251,0.6597,0.3914,0.6387,0.4683
AdaBoostRegressor,0.3355,0.4643,0.5792,0.3623,0.6463,0.5064,0.4528,0.5446,0.6729,0.3668,0.6215,0.5069
XGBRegressor,0.3992,0.5073,0.6318,0.2413,0.5661,0.5414,0.4570,0.5212,0.6760,0.3610,0.6096,0.4435
ExtraTreesRegressor,0.3476,0.4755,0.5896,0.3394,0.6363,0.5146,0.4256,0.5181,0.6524,0.4049,0.6492,0.5234
LinearRegression,2.7997,1.2105,1.6732,-4.3210,0.2958,0.3111,0.9374,0.7506,0.9682,-0.3108,0.4543,0.4077
KNeighborsRegressor,0.3834,0.5028,0.6192,0.2714,0.5324,0.5248,0.4318,0.5140,0.6571,0.3962,0.6578,0.4897
SVR,0.4097,0.4963,0.6401,0.2214,0.4756,0.5347,0.4573,0.4982,0.6762,0.3605,0.6237,0.5289
MLPRegressor,0.8772,0.7180,0.9366,-0.6672,0.3888,0.3914,0.6156,0.5738,0.7846,0.1392,0.6116,0.6777
