,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.4257,0.5454,0.6524,0.1910,0.4398,0.3893,0.5405,0.6220,0.7352,0.2442,0.5818,0.5269
DecisionTreeRegressor,0.5559,0.5400,0.7456,-0.0566,0.3964,0.4916,0.4805,0.5397,0.6932,0.3281,0.5834,0.4904
RandomForestRegressor,0.3816,0.5080,0.6177,0.2748,0.5308,0.5449,0.4726,0.5908,0.6875,0.3391,0.6058,0.4821
GradientBoostingRegressor,0.4368,0.5039,0.6609,0.1699,0.4827,0.5162,0.4437,0.5191,0.6661,0.3795,0.6315,0.4876
AdaBoostRegressor,0.3503,0.4746,0.5919,0.3342,0.6122,0.5445,0.4362,0.5270,0.6605,0.3900,0.6409,0.4050
XGBRegressor,0.4450,0.5353,0.6671,0.1542,0.4872,0.5157,0.4429,0.5244,0.6655,0.3806,0.6300,0.5096
ExtraTreesRegressor,0.3291,0.4638,0.5737,0.3746,0.6539,0.5209,0.4115,0.5027,0.6415,0.4246,0.6695,0.5179
LinearRegression,2.4637,1.0022,1.5696,-3.6824,0.2721,0.3539,1.9701,1.0254,1.4036,-1.7549,0.2981,0.4160
KNeighborsRegressor,0.4006,0.5178,0.6329,0.2386,0.5071,0.4931,0.4219,0.4874,0.6496,0.4100,0.6734,0.5421
SVR,0.4159,0.4985,0.6449,0.2096,0.4634,0.5206,0.4562,0.4984,0.6754,0.3621,0.6258,0.5289
MLPRegressor,0.7999,0.6951,0.8944,-0.5202,0.3854,0.3985,0.5707,0.5392,0.7555,0.2019,0.5337,0.5234
