,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.4737,0.5311,0.6883,0.0997,0.3542,0.4258,0.4350,0.5202,0.6595,0.3917,0.6782,0.6749
DecisionTreeRegressor,1.1445,0.8521,1.0698,-1.1752,-0.0053,0.0697,0.4980,0.4926,0.7057,0.3037,0.5711,0.6198
RandomForestRegressor,0.5127,0.5612,0.7161,0.0255,0.3075,0.3214,0.3915,0.4687,0.6257,0.4525,0.7196,0.7052
GradientBoostingRegressor,0.6066,0.6282,0.7789,-0.1529,0.1967,0.2040,0.4216,0.4077,0.6493,0.4105,0.6487,0.6336
AdaBoostRegressor,0.5316,0.5703,0.7291,-0.0103,0.2674,0.3140,0.4201,0.4450,0.6481,0.4126,0.6798,0.7080
XGBRegressor,0.6723,0.6747,0.8199,-0.2777,0.2306,0.2663,0.4548,0.4643,0.6744,0.3640,0.6105,0.6915
ExtraTreesRegressor,0.4918,0.5704,0.7013,0.0654,0.3593,0.3506,0.4048,0.4723,0.6363,0.4339,0.6768,0.6722
LinearRegression,1.1566,0.8931,1.0754,-1.1981,0.1947,0.2327,0.5399,0.5819,0.7348,0.2450,0.6851,0.7300
KNeighborsRegressor,0.5525,0.6025,0.7433,-0.0501,0.3483,0.3923,0.4879,0.5897,0.6985,0.3177,0.5694,0.4876
SVR,0.4838,0.5603,0.6956,0.0805,0.3074,0.2659,0.4232,0.4990,0.6506,0.4082,0.7478,0.7300
MLPRegressor,1.7468,1.0357,1.3217,-2.3199,-0.0604,0.0023,2.4454,1.2316,1.5638,-2.4196,0.1112,-0.0221
