,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.5707,0.6234,0.7554,-0.0846,-0.1359,-0.1264,0.6224,0.6657,0.7889,0.1297,0.5669,0.4938
DecisionTreeRegressor,0.9946,0.8268,0.9973,-0.8902,0.1653,0.1587,0.8170,0.7172,0.9039,-0.1425,0.1419,0.1515
RandomForestRegressor,0.5983,0.6177,0.7735,-0.1370,0.0851,0.0372,0.5982,0.6453,0.7734,0.1636,0.4200,0.2094
GradientBoostingRegressor,0.6725,0.6759,0.8201,-0.2782,0.1000,0.0806,0.7038,0.6880,0.8389,0.0159,0.2160,0.2452
AdaBoostRegressor,0.6167,0.6555,0.7853,-0.1721,0.0520,-0.0106,0.6757,0.6871,0.8220,0.0551,0.2580,0.2259
XGBRegressor,0.7996,0.7050,0.8942,-0.5197,-0.0128,0.0132,0.6300,0.6616,0.7938,0.1190,0.3679,0.3361
ExtraTreesRegressor,0.6062,0.6320,0.7786,-0.1521,0.1689,0.1592,0.6802,0.6678,0.8247,0.0489,0.2885,0.2479
LinearRegression,0.6679,0.6795,0.8173,-0.2694,0.1009,0.0715,0.9672,0.8101,0.9835,-0.3525,-0.0302,0.0386
KNeighborsRegressor,0.6613,0.6740,0.8132,-0.2569,0.0892,0.1047,0.7144,0.6680,0.8452,0.0011,0.2142,0.1983
SVR,0.5395,0.6084,0.7345,-0.0253,0.2001,0.2184,0.6230,0.6485,0.7893,0.1288,0.3821,0.1846
MLPRegressor,2.3510,1.1510,1.5333,-3.4683,-0.0116,-0.0426,2.2944,1.2114,1.5147,-2.2084,0.3522,0.3752
