,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.4670,0.5272,0.6834,0.1125,0.3657,0.4367,0.4394,0.5216,0.6629,0.3855,0.6745,0.6749
DecisionTreeRegressor,1.0782,0.8057,1.0384,-1.0492,0.0104,0.0557,0.5608,0.5715,0.7489,0.2158,0.5285,0.5620
RandomForestRegressor,0.5050,0.5608,0.7107,0.0402,0.3204,0.3190,0.4232,0.4843,0.6505,0.4083,0.6736,0.6253
GradientBoostingRegressor,0.6370,0.6230,0.7981,-0.2106,0.1852,0.2375,0.4185,0.4197,0.6469,0.4148,0.6503,0.6612
AdaBoostRegressor,0.5021,0.5704,0.7086,0.0458,0.3334,0.3587,0.4162,0.4320,0.6451,0.4180,0.6908,0.6474
XGBRegressor,0.6240,0.6730,0.7899,-0.1860,0.2484,0.2543,0.4470,0.4413,0.6686,0.3749,0.6212,0.6915
ExtraTreesRegressor,0.4922,0.5811,0.7016,0.0646,0.3801,0.3554,0.4046,0.4715,0.6361,0.4343,0.6778,0.6116
LinearRegression,1.3096,0.9443,1.1444,-1.4889,0.1293,0.1655,0.6580,0.6148,0.8112,0.0799,0.5957,0.6749
KNeighborsRegressor,0.6154,0.6135,0.7845,-0.1697,0.2673,0.3707,0.4933,0.5980,0.7023,0.3102,0.5602,0.4270
SVR,0.5004,0.5690,0.7074,0.0489,0.2690,0.2218,0.4220,0.4966,0.6496,0.4100,0.7526,0.7328
MLPRegressor,2.1755,1.2431,1.4750,-3.1346,-0.0207,-0.1695,2.4940,1.1879,1.5792,-2.4874,0.2819,0.3269
