,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.4617,0.5419,0.6795,0.1225,0.3996,0.3598,0.6311,0.6407,0.7944,0.1176,0.3516,0.3388
DecisionTreeRegressor,0.7352,0.7162,0.8574,-0.3973,0.2827,0.1595,0.6158,0.6151,0.7847,0.1389,0.4173,0.4303
RandomForestRegressor,0.4259,0.5241,0.6526,0.1905,0.4482,0.3933,0.4874,0.5913,0.6981,0.3184,0.6181,0.4821
GradientBoostingRegressor,0.4601,0.5440,0.6783,0.1256,0.4343,0.3472,0.5446,0.5851,0.7380,0.2385,0.4968,0.4380
AdaBoostRegressor,0.5027,0.5771,0.7090,0.0445,0.3730,0.3475,0.5039,0.5781,0.7098,0.2954,0.5572,0.4766
XGBRegressor,0.4661,0.5612,0.6827,0.1143,0.4722,0.3720,0.5106,0.5941,0.7146,0.2860,0.5393,0.3857
ExtraTreesRegressor,0.4699,0.5633,0.6855,0.1069,0.4106,0.3301,0.4650,0.5524,0.6819,0.3498,0.6107,0.5069
LinearRegression,1.2736,0.9210,1.1285,-1.4205,0.4067,0.3533,1.3688,1.0251,1.1699,-0.9140,0.1525,0.1625
KNeighborsRegressor,0.5148,0.5928,0.7175,0.0215,0.3786,0.3438,0.4724,0.5607,0.6873,0.3394,0.6258,0.5090
SVR,0.4534,0.5531,0.6733,0.1383,0.3877,0.3785,0.5190,0.5862,0.7205,0.2742,0.5502,0.4904
MLPRegressor,1.2571,0.8926,1.1212,-1.3892,0.3597,0.3225,1.3556,0.9910,1.1643,-0.8957,0.1813,0.1129
