,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3425,0.4575,0.5852,0.3492,0.5934,0.5799,0.5059,0.5731,0.7112,0.2926,0.5579,0.3995
DecisionTreeRegressor,0.7662,0.6970,0.8753,-0.4562,0.2715,0.2351,0.5918,0.6427,0.7693,0.1725,0.4638,0.5069
RandomForestRegressor,0.3828,0.5005,0.6187,0.2725,0.5256,0.5228,0.4510,0.5513,0.6716,0.3693,0.6379,0.5647
GradientBoostingRegressor,0.5055,0.5621,0.7110,0.0393,0.3836,0.3815,0.4817,0.5376,0.6940,0.3264,0.5732,0.5730
AdaBoostRegressor,0.4376,0.5278,0.6615,0.1683,0.4520,0.4638,0.4765,0.5509,0.6903,0.3337,0.5855,0.5179
XGBRegressor,0.6063,0.6126,0.7786,-0.1522,0.2861,0.3053,0.4776,0.5739,0.6911,0.3322,0.5911,0.5758
ExtraTreesRegressor,0.4102,0.5229,0.6405,0.2204,0.4927,0.4853,0.4531,0.5353,0.6732,0.3664,0.6130,0.6226
LinearRegression,1.0648,0.7926,1.0319,-1.0237,0.5647,0.5618,1.4290,0.9915,1.1954,-0.9982,0.1779,0.1515
KNeighborsRegressor,0.4761,0.5437,0.6900,0.0951,0.4846,0.5115,0.4448,0.5498,0.6670,0.3780,0.6198,0.4766
SVR,0.3989,0.5197,0.6316,0.2419,0.4926,0.4946,0.4699,0.5359,0.6855,0.3430,0.6043,0.5179
MLPRegressor,1.4657,1.0237,1.2106,-1.7855,0.2833,0.2131,0.7256,0.6470,0.8518,-0.0147,0.5922,0.5950
