,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3480,0.4781,0.5899,0.3386,0.5825,0.5564,0.4771,0.5723,0.6907,0.3328,0.6630,0.4408
DecisionTreeRegressor,0.4824,0.5467,0.6945,0.0832,0.5146,0.4564,0.6480,0.6462,0.8050,0.0938,0.3978,0.4105
RandomForestRegressor,0.3463,0.4750,0.5885,0.3418,0.5875,0.5214,0.5055,0.5539,0.7110,0.2931,0.6616,0.4077
GradientBoostingRegressor,0.3744,0.4885,0.6119,0.2883,0.5758,0.4918,0.5237,0.5638,0.7237,0.2677,0.5999,0.4959
AdaBoostRegressor,0.4201,0.5409,0.6481,0.2017,0.4995,0.4641,0.5320,0.5796,0.7294,0.2561,0.5972,0.2893
XGBRegressor,0.4648,0.5604,0.6818,0.1166,0.5121,0.4251,0.5084,0.5552,0.7130,0.2891,0.6056,0.3967
ExtraTreesRegressor,0.3424,0.4798,0.5851,0.3493,0.6116,0.4930,0.4832,0.5396,0.6951,0.3243,0.6312,0.5124
LinearRegression,1.0186,0.8475,1.0093,-0.9359,0.4358,0.3589,0.9288,0.6886,0.9638,-0.2988,0.5230,0.6832
KNeighborsRegressor,0.3950,0.5093,0.6285,0.2493,0.5171,0.4299,0.4862,0.5345,0.6973,0.3201,0.6383,0.4820
SVR,0.3769,0.5014,0.6139,0.2836,0.5368,0.5200,0.4674,0.5328,0.6837,0.3464,0.6799,0.5234
MLPRegressor,1.0074,0.8293,1.0037,-0.9145,0.4068,0.2912,1.1164,0.9165,1.0566,-0.5611,0.0634,0.0689
