,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.5170,0.6134,0.7190,0.0175,0.2205,0.1887,0.5864,0.6610,0.7658,0.1800,0.4758,0.3641
DecisionTreeRegressor,0.7072,0.6259,0.8410,-0.3441,0.2057,0.2053,0.4604,0.5488,0.6785,0.3563,0.5991,0.5427
RandomForestRegressor,0.3999,0.5129,0.6324,0.2400,0.4941,0.4778,0.4045,0.5247,0.6360,0.4344,0.7109,0.5152
GradientBoostingRegressor,0.4646,0.5375,0.6816,0.1171,0.4968,0.4500,0.4188,0.5141,0.6471,0.4144,0.6513,0.5703
AdaBoostRegressor,0.4208,0.5067,0.6487,0.2002,0.4731,0.4428,0.4450,0.5366,0.6671,0.3778,0.6315,0.5317
XGBRegressor,0.3916,0.4991,0.6257,0.2558,0.5468,0.4643,0.3430,0.4530,0.5856,0.5204,0.7528,0.6171
ExtraTreesRegressor,0.6153,0.5864,0.7844,-0.1695,0.2973,0.2449,0.3830,0.4778,0.6189,0.4644,0.6958,0.6198
LinearRegression,0.6826,0.6340,0.8262,-0.2973,0.5295,0.4424,0.4087,0.5056,0.6393,0.4285,0.6620,0.5537
KNeighborsRegressor,0.5056,0.5726,0.7111,0.0390,0.3916,0.4870,0.4131,0.5262,0.6427,0.4224,0.7334,0.6143
SVR,0.4505,0.5331,0.6712,0.1438,0.3935,0.4438,0.4106,0.5012,0.6408,0.4259,0.7778,0.6804
MLPRegressor,1.0343,0.8130,1.0170,-0.9657,0.4971,0.4070,0.2802,0.3989,0.5293,0.6082,0.8206,0.8237
