,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.5170,0.6134,0.7190,0.0175,0.2205,0.1887,0.5864,0.6610,0.7658,0.1800,0.4758,0.3641
DecisionTreeRegressor,0.7036,0.6307,0.8388,-0.3372,0.2221,0.2159,0.4235,0.5382,0.6508,0.4077,0.6496,0.5813
RandomForestRegressor,0.4031,0.5142,0.6349,0.2339,0.4884,0.4637,0.4045,0.5260,0.6360,0.4344,0.7136,0.5096
GradientBoostingRegressor,0.4570,0.5323,0.6760,0.1315,0.5039,0.4655,0.4098,0.5053,0.6402,0.4270,0.6625,0.5703
AdaBoostRegressor,0.4212,0.5061,0.6490,0.1996,0.4746,0.4370,0.4530,0.5446,0.6731,0.3665,0.6249,0.4711
XGBRegressor,0.3916,0.4991,0.6257,0.2558,0.5468,0.4643,0.3430,0.4530,0.5856,0.5204,0.7528,0.6171
ExtraTreesRegressor,0.6159,0.5893,0.7848,-0.1706,0.2962,0.2395,0.3779,0.4761,0.6147,0.4716,0.7024,0.6198
LinearRegression,0.6826,0.6340,0.8262,-0.2973,0.5295,0.4424,0.4087,0.5056,0.6393,0.4285,0.6620,0.5537
KNeighborsRegressor,0.5056,0.5726,0.7111,0.0390,0.3916,0.4870,0.4131,0.5262,0.6427,0.4224,0.7334,0.6143
SVR,0.4505,0.5331,0.6712,0.1438,0.3934,0.4438,0.4106,0.5012,0.6408,0.4259,0.7778,0.6804
MLPRegressor,0.9692,0.7663,0.9845,-0.8420,0.5143,0.4046,0.3940,0.4617,0.6277,0.4490,0.6921,0.6116
