,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.5031,0.5958,0.7093,0.0438,0.2262,0.2115,0.6334,0.6881,0.7959,0.1143,0.3749,0.3689
DecisionTreeRegressor,0.6010,0.5677,0.7752,-0.1422,0.4342,0.4518,0.5451,0.6278,0.7383,0.2377,0.4911,0.3554
RandomForestRegressor,0.4041,0.5033,0.6357,0.2320,0.4945,0.4877,0.4748,0.5965,0.6891,0.3360,0.5957,0.3912
GradientBoostingRegressor,0.4032,0.4833,0.6350,0.2337,0.5193,0.5327,0.4928,0.5669,0.7020,0.3109,0.5582,0.4408
AdaBoostRegressor,0.4299,0.5087,0.6556,0.1830,0.4735,0.4848,0.4635,0.5831,0.6808,0.3519,0.6193,0.4793
XGBRegressor,0.5803,0.5702,0.7618,-0.1029,0.3684,0.4381,0.5327,0.6155,0.7299,0.2551,0.5194,0.4601
ExtraTreesRegressor,0.4039,0.4748,0.6355,0.2324,0.5527,0.5553,0.4520,0.5500,0.6723,0.3679,0.6111,0.5592
LinearRegression,2.4471,1.1379,1.5643,-3.6508,0.0875,0.1310,0.4681,0.5615,0.6842,0.3454,0.6113,0.5317
KNeighborsRegressor,0.5153,0.5387,0.7179,0.0206,0.4145,0.5015,0.4060,0.5337,0.6371,0.4323,0.6732,0.5062
SVR,0.4593,0.5357,0.6777,0.1271,0.3805,0.3342,0.4505,0.5421,0.6712,0.3701,0.7143,0.5923
MLPRegressor,0.4818,0.5443,0.6941,0.0843,0.4634,0.5030,0.3665,0.4558,0.6054,0.4875,0.7367,0.6061
