,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.5383,0.6132,0.7337,-0.0230,0.0631,0.0921,0.6705,0.6871,0.8188,0.0624,0.2886,0.2688
DecisionTreeRegressor,0.4630,0.5582,0.6804,0.1201,0.3627,0.3979,0.6511,0.6834,0.8069,0.0896,0.3115,0.2815
RandomForestRegressor,0.4660,0.5620,0.6827,0.1143,0.3564,0.3728,0.6509,0.6842,0.8068,0.0898,0.3115,0.2815
GradientBoostingRegressor,0.4630,0.5582,0.6804,0.1201,0.3627,0.3979,0.6511,0.6834,0.8069,0.0896,0.3115,0.2815
AdaBoostRegressor,0.5398,0.6112,0.7347,-0.0260,0.2691,0.3280,0.6520,0.6864,0.8075,0.0882,0.3111,0.2815
XGBRegressor,0.4630,0.5583,0.6804,0.1201,0.3626,0.3979,0.6511,0.6834,0.8069,0.0896,0.3115,0.2815
ExtraTreesRegressor,0.4630,0.5582,0.6804,0.1201,0.3627,0.3979,0.6511,0.6834,0.8069,0.0896,0.3115,0.2815
LinearRegression,0.4649,0.5582,0.6818,0.1164,0.3609,0.3975,0.6511,0.6834,0.8069,0.0896,0.3115,0.2815
KNeighborsRegressor,0.6148,0.6355,0.7841,-0.1684,0.0280,0.0183,0.7692,0.7042,0.8770,-0.0756,-0.0541,-0.2246
SVR,0.5236,0.5951,0.7236,0.0049,0.2519,0.2123,0.6821,0.6807,0.8259,0.0462,0.3104,0.2815
MLPRegressor,0.6659,0.6746,0.8160,-0.2655,0.0566,0.1029,0.6496,0.6896,0.8060,0.0917,0.3104,0.2815
