,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.5780,0.6283,0.7603,-0.0985,0.0492,0.0023,0.5893,0.6456,0.7676,0.1760,0.4731,0.4550
DecisionTreeRegressor,0.6574,0.6098,0.8108,-0.2493,0.3133,0.2115,0.4149,0.5165,0.6441,0.4198,0.6534,0.5289
RandomForestRegressor,0.4052,0.5250,0.6366,0.2298,0.4929,0.4400,0.3563,0.4928,0.5969,0.5017,0.7731,0.6584
GradientBoostingRegressor,0.4224,0.5018,0.6499,0.1972,0.5232,0.4398,0.3547,0.4622,0.5956,0.5040,0.7363,0.6309
AdaBoostRegressor,0.4346,0.4905,0.6592,0.1741,0.4802,0.3926,0.3775,0.4938,0.6144,0.4721,0.7450,0.6336
XGBRegressor,0.4879,0.5242,0.6985,0.0728,0.4528,0.3564,0.3734,0.4707,0.6111,0.4778,0.7023,0.6143
ExtraTreesRegressor,0.4499,0.4909,0.6707,0.1450,0.4797,0.4405,0.3947,0.4962,0.6282,0.4481,0.6777,0.5923
LinearRegression,0.6361,0.6456,0.7976,-0.2089,0.5071,0.5586,0.6929,0.5999,0.8324,0.0311,0.4993,0.4545
KNeighborsRegressor,0.5311,0.6039,0.7288,-0.0095,0.3876,0.3656,0.5368,0.5742,0.7326,0.2494,0.5332,0.4601
SVR,0.4131,0.5254,0.6427,0.2149,0.4667,0.4966,0.4041,0.4987,0.6357,0.4349,0.7664,0.5895
MLPRegressor,1.1913,0.8710,1.0915,-1.2641,0.3903,0.3960,0.3799,0.4631,0.6164,0.4688,0.7477,0.5923
