,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.5359,0.6047,0.7320,-0.0185,-0.1795,-0.2310,0.7151,0.6961,0.8457,-0.0000,nan,nan
DecisionTreeRegressor,0.4972,0.5766,0.7051,0.0550,0.3083,0.2644,0.6818,0.7081,0.8257,0.0466,0.2810,0.2588
RandomForestRegressor,0.4853,0.5704,0.6966,0.0777,0.3243,0.2751,0.6819,0.7104,0.8258,0.0465,0.2800,0.2588
GradientBoostingRegressor,0.4972,0.5766,0.7051,0.0550,0.3083,0.2644,0.6818,0.7081,0.8257,0.0466,0.2810,0.2588
AdaBoostRegressor,0.5766,0.6314,0.7593,-0.0958,0.2103,0.2156,0.6730,0.7063,0.8203,0.0589,0.2928,0.2588
XGBRegressor,0.4970,0.5765,0.7050,0.0555,0.3085,0.2644,0.6817,0.7080,0.8257,0.0467,0.2810,0.2588
ExtraTreesRegressor,0.4972,0.5766,0.7051,0.0550,0.3083,0.2644,0.6818,0.7081,0.8257,0.0466,0.2810,0.2588
LinearRegression,0.4815,0.5618,0.6939,0.0849,0.3279,0.2567,0.6735,0.6957,0.8207,0.0583,0.2851,0.2588
KNeighborsRegressor,0.7386,0.6971,0.8594,-0.4037,-0.1651,-0.2097,0.7568,0.6849,0.8699,-0.0583,0.0545,-0.0833
SVR,0.5302,0.5713,0.7282,-0.0077,0.2642,0.2377,0.7284,0.6975,0.8535,-0.0186,0.2637,0.2032
MLPRegressor,0.9027,0.7653,0.9501,-0.7156,0.1300,0.1192,0.6823,0.7289,0.8260,0.0459,0.2937,0.2910
