,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.5344,0.6164,0.7310,-0.0156,0.1225,0.1646,0.6679,0.6975,0.8173,0.0660,0.2631,0.1887
DecisionTreeRegressor,0.7014,0.5999,0.8375,-0.3330,0.2892,0.4328,0.7010,0.7267,0.8372,0.0198,0.3631,0.1354
RandomForestRegressor,0.6081,0.6260,0.7798,-0.1557,0.2027,0.3121,0.5651,0.6501,0.7517,0.2098,0.4708,0.2800
GradientBoostingRegressor,0.6733,0.6014,0.8205,-0.2796,0.2413,0.3714,0.5659,0.6532,0.7522,0.2087,0.4706,0.2800
AdaBoostRegressor,0.6040,0.6136,0.7772,-0.1479,0.2239,0.3227,0.6620,0.7279,0.8137,0.0743,0.3310,0.2735
XGBRegressor,0.7152,0.6155,0.8457,-0.3593,0.2367,0.3735,0.6556,0.7078,0.8097,0.0832,0.3682,0.2579
ExtraTreesRegressor,0.6775,0.5916,0.8231,-0.2876,0.2989,0.4713,0.7124,0.7377,0.8441,0.0038,0.3428,0.1338
LinearRegression,0.7243,0.6747,0.8511,-0.3766,0.2301,0.2836,0.4084,0.5415,0.6391,0.4289,0.7003,0.5255
KNeighborsRegressor,0.6407,0.6610,0.8004,-0.2177,0.0801,0.1545,0.5799,0.6235,0.7615,0.1891,0.4802,0.4724
SVR,0.5253,0.5500,0.7248,0.0016,0.2637,0.2931,0.5049,0.5508,0.7105,0.2940,0.6539,0.4952
MLPRegressor,0.9084,0.7503,0.9531,-0.7265,0.1906,0.2006,0.4789,0.5705,0.6920,0.3303,0.6074,0.5945
