,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.4950,0.5856,0.7036,0.0592,0.2597,0.2643,0.6421,0.6827,0.8013,0.1022,0.3264,0.3211
DecisionTreeRegressor,0.5744,0.5959,0.7579,-0.0916,0.2794,0.3199,0.5395,0.5942,0.7345,0.2456,0.5137,0.3831
RandomForestRegressor,0.5534,0.6142,0.7439,-0.0518,0.2229,0.2374,0.5632,0.6301,0.7505,0.2124,0.4737,0.3167
GradientBoostingRegressor,0.5492,0.5879,0.7411,-0.0438,0.2641,0.2828,0.5338,0.6113,0.7306,0.2535,0.5066,0.3499
AdaBoostRegressor,0.6645,0.6839,0.8151,-0.2628,0.2072,0.2294,0.6304,0.6712,0.7940,0.1185,0.3615,0.3167
XGBRegressor,0.5100,0.5694,0.7141,0.0308,0.3214,0.3657,0.5938,0.6691,0.7706,0.1696,0.4206,0.2061
ExtraTreesRegressor,0.5811,0.6078,0.7623,-0.1044,0.2606,0.2876,0.5449,0.6154,0.7382,0.2381,0.5000,0.3389
LinearRegression,0.6282,0.6210,0.7926,-0.1940,0.2239,0.2629,0.5225,0.5977,0.7228,0.2694,0.5210,0.4744
KNeighborsRegressor,0.5833,0.6498,0.7638,-0.1086,0.2203,0.2550,0.6650,0.6713,0.8155,0.0700,0.3184,0.3906
SVR,0.5289,0.5584,0.7272,-0.0052,0.2509,0.2703,0.5310,0.5648,0.7287,0.2574,0.6034,0.4633
MLPRegressor,0.8762,0.7363,0.9360,-0.6652,0.2000,0.2708,0.5369,0.6072,0.7327,0.2493,0.5335,0.4412
