,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.5188,0.6027,0.7203,0.0140,0.1861,0.1918,0.6481,0.6802,0.8050,0.0937,0.3214,0.2372
DecisionTreeRegressor,0.6105,0.6017,0.7813,-0.1603,0.2276,0.2867,0.5169,0.6447,0.7190,0.2772,0.5281,0.5090
RandomForestRegressor,0.5882,0.6231,0.7670,-0.1179,0.1967,0.2690,0.4895,0.6212,0.6996,0.3155,0.5900,0.4758
GradientBoostingRegressor,0.6170,0.6205,0.7855,-0.1726,0.2033,0.2571,0.4641,0.5900,0.6813,0.3510,0.6078,0.5560
AdaBoostRegressor,0.6317,0.6370,0.7948,-0.2006,0.1566,0.2399,0.5047,0.6305,0.7104,0.2942,0.5704,0.4979
XGBRegressor,0.6375,0.6214,0.7984,-0.2115,0.1942,0.2580,0.4725,0.6074,0.6874,0.3392,0.5940,0.5560
ExtraTreesRegressor,0.6242,0.6082,0.7901,-0.1863,0.2122,0.2792,0.4754,0.5990,0.6895,0.3352,0.5867,0.5671
LinearRegression,0.6137,0.6232,0.7834,-0.1664,0.2109,0.2722,0.4930,0.6063,0.7021,0.3106,0.5615,0.5477
KNeighborsRegressor,0.6603,0.6991,0.8126,-0.2549,0.1045,0.0665,0.5798,0.6330,0.7614,0.1893,0.4599,0.4592
SVR,0.5369,0.5482,0.7327,-0.0203,0.2539,0.3128,0.5240,0.5542,0.7239,0.2673,0.6187,0.5007
MLPRegressor,1.2541,0.9294,1.1199,-1.3835,0.1285,0.1949,0.5249,0.6249,0.7245,0.2660,0.5645,0.4371
