,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.5511,0.6240,0.7424,-0.0474,0.1319,0.0968,0.5899,0.6490,0.7681,0.1751,0.5174,0.3729
DecisionTreeRegressor,0.4659,0.5070,0.6825,0.1146,0.5280,0.3667,0.5537,0.5264,0.7441,0.2258,0.4871,0.4386
RandomForestRegressor,0.3135,0.4662,0.5599,0.4041,0.6364,0.5168,0.4913,0.5335,0.7009,0.3130,0.5731,0.6097
GradientBoostingRegressor,0.3194,0.4321,0.5652,0.3929,0.6655,0.5319,0.5463,0.5443,0.7391,0.2361,0.4956,0.4772
AdaBoostRegressor,0.2404,0.3958,0.4903,0.5431,0.7403,0.6474,0.5059,0.5373,0.7113,0.2926,0.5465,0.5986
XGBRegressor,0.3266,0.4457,0.5715,0.3792,0.6521,0.5028,0.5670,0.5546,0.7530,0.2071,0.4731,0.4276
ExtraTreesRegressor,0.3363,0.4677,0.5799,0.3609,0.6269,0.4847,0.5009,0.5231,0.7078,0.2995,0.5525,0.4552
LinearRegression,0.6360,0.6106,0.7975,-0.2087,0.4737,0.4757,0.8824,0.6366,0.9393,-0.2339,0.4902,0.4690
KNeighborsRegressor,0.5518,0.6060,0.7429,-0.0488,0.3761,0.4516,0.4439,0.5027,0.6663,0.3793,0.6669,0.5318
SVR,0.4055,0.5035,0.6368,0.2293,0.4877,0.5346,0.4507,0.5224,0.6713,0.3698,0.6539,0.5545
MLPRegressor,1.2613,0.9012,1.1231,-1.3972,0.2644,0.2841,0.3622,0.4726,0.6018,0.4935,0.7239,0.6510
