,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.5240,0.6033,0.7239,0.0042,0.1801,0.1713,0.6728,0.6958,0.8202,0.0592,0.2444,0.1183
DecisionTreeRegressor,0.5224,0.5298,0.7228,0.0072,0.5009,0.2917,0.3289,0.4058,0.5735,0.5401,0.7859,0.8147
RandomForestRegressor,0.3227,0.4663,0.5680,0.3867,0.6231,0.4825,0.3582,0.4384,0.5985,0.4991,0.8022,0.8398
GradientBoostingRegressor,0.3692,0.4870,0.6077,0.2982,0.5936,0.4673,0.3221,0.4020,0.5675,0.5496,0.8036,0.7873
AdaBoostRegressor,0.3052,0.4379,0.5525,0.4199,0.6519,0.5245,0.3557,0.4413,0.5964,0.5026,0.8350,0.8564
XGBRegressor,0.3855,0.4866,0.6209,0.2673,0.5938,0.4151,0.3341,0.3904,0.5780,0.5328,0.7714,0.7873
ExtraTreesRegressor,0.5194,0.5274,0.7207,0.0129,0.5100,0.3307,0.3154,0.3953,0.5616,0.5590,0.7927,0.8036
LinearRegression,0.7740,0.7353,0.8798,-0.4710,0.4560,0.2891,0.5352,0.5900,0.7316,0.2516,0.5444,0.6077
KNeighborsRegressor,0.5990,0.6328,0.7739,-0.1384,0.3408,0.4537,0.4869,0.5022,0.6978,0.3191,0.6373,0.6238
SVR,0.4573,0.5320,0.6763,0.1308,0.3790,0.4335,0.4116,0.4873,0.6416,0.4244,0.7947,0.6961
MLPRegressor,0.8407,0.7127,0.9169,-0.5978,0.4551,0.3117,0.3233,0.4212,0.5686,0.5479,0.7969,0.8094
