,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.5240,0.6032,0.7239,0.0042,0.1827,0.1599,0.6725,0.6962,0.8201,0.0596,0.2456,0.1183
DecisionTreeRegressor,0.7412,0.6634,0.8609,-0.4086,0.2510,0.3030,0.5186,0.5567,0.7202,0.2748,0.5415,0.5560
RandomForestRegressor,0.6064,0.6357,0.7787,-0.1526,0.2790,0.3270,0.4959,0.5402,0.7042,0.3066,0.5995,0.6036
GradientBoostingRegressor,0.5876,0.6177,0.7666,-0.1168,0.3315,0.3634,0.4947,0.5150,0.7034,0.3082,0.5725,0.5870
AdaBoostRegressor,0.5454,0.6071,0.7385,-0.0365,0.3645,0.3563,0.5059,0.5406,0.7113,0.2925,0.5762,0.5373
XGBRegressor,0.6441,0.6180,0.8026,-0.2242,0.3145,0.4005,0.4913,0.5267,0.7010,0.3129,0.5855,0.6395
ExtraTreesRegressor,0.7162,0.6537,0.8463,-0.3611,0.2646,0.3174,0.5209,0.5638,0.7217,0.2716,0.5362,0.5704
LinearRegression,0.6155,0.6279,0.7845,-0.1697,0.3914,0.4266,0.5988,0.5804,0.7738,0.1626,0.4946,0.5594
KNeighborsRegressor,0.6237,0.6643,0.7898,-0.1854,0.3134,0.3817,0.5580,0.5569,0.7470,0.2197,0.5240,0.5698
SVR,0.5450,0.5761,0.7382,-0.0357,0.2250,0.2582,0.4854,0.5321,0.6967,0.3212,0.6247,0.6588
MLPRegressor,0.9534,0.7942,0.9764,-0.8120,0.2264,0.2474,0.4530,0.4942,0.6731,0.3665,0.6936,0.6202
