,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.5373,0.6101,0.7330,-0.0212,0.1555,0.1191,0.6404,0.6745,0.8002,0.1045,0.3294,0.2800
DecisionTreeRegressor,0.4400,0.4692,0.6634,0.1637,0.5403,0.4971,0.5372,0.5903,0.7330,0.2488,0.5273,0.4517
RandomForestRegressor,0.3945,0.4999,0.6281,0.2502,0.5185,0.4753,0.3311,0.4691,0.5754,0.5371,0.8067,0.6869
GradientBoostingRegressor,0.3666,0.4722,0.6055,0.3033,0.5866,0.5343,0.2915,0.4225,0.5399,0.5924,0.8248,0.8469
AdaBoostRegressor,0.4277,0.4871,0.6540,0.1872,0.4898,0.4098,0.3545,0.4821,0.5954,0.5042,0.7909,0.6510
XGBRegressor,0.3841,0.4456,0.6198,0.2700,0.5747,0.5536,0.4375,0.5181,0.6615,0.3882,0.6244,0.5710
ExtraTreesRegressor,0.4566,0.4811,0.6757,0.1322,0.5086,0.4776,0.4080,0.5189,0.6388,0.4295,0.6679,0.5462
LinearRegression,0.3375,0.5049,0.5809,0.3586,0.7078,0.6140,0.4748,0.5652,0.6891,0.3361,0.5831,0.4855
KNeighborsRegressor,0.5508,0.6216,0.7422,-0.0468,0.3637,0.3890,0.5326,0.5579,0.7298,0.2552,0.5419,0.3641
SVR,0.4387,0.5401,0.6624,0.1662,0.4110,0.4569,0.4081,0.4983,0.6388,0.4293,0.7483,0.5959
MLPRegressor,1.0414,0.8297,1.0205,-0.9792,0.4788,0.3935,0.3863,0.4897,0.6216,0.4598,0.8295,0.7503
