,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.5383,0.6132,0.7337,-0.0230,0.0631,0.0921,0.6705,0.6871,0.8188,0.0624,0.2886,0.2688
DecisionTreeRegressor,0.5683,0.5924,0.7538,-0.0800,0.3021,0.2999,0.4838,0.5822,0.6956,0.3235,0.5740,0.4598
RandomForestRegressor,0.5309,0.5955,0.7287,-0.0091,0.2914,0.2892,0.4910,0.5805,0.7007,0.3134,0.5808,0.4488
GradientBoostingRegressor,0.5231,0.5789,0.7233,0.0058,0.3398,0.3138,0.4854,0.5811,0.6967,0.3213,0.5726,0.4598
AdaBoostRegressor,0.5507,0.6272,0.7421,-0.0466,0.3198,0.3438,0.6125,0.6527,0.7826,0.1435,0.3956,0.2825
XGBRegressor,0.5330,0.5633,0.7301,-0.0130,0.3406,0.3399,0.4814,0.5756,0.6938,0.3269,0.5778,0.4626
ExtraTreesRegressor,0.5445,0.5803,0.7379,-0.0349,0.3270,0.3186,0.4850,0.5831,0.6964,0.3218,0.5715,0.4598
LinearRegression,0.5633,0.5898,0.7505,-0.0706,0.3068,0.3042,0.4701,0.5570,0.6856,0.3426,0.6094,0.4737
KNeighborsRegressor,0.5958,0.6490,0.7719,-0.1324,0.2360,0.2574,0.6277,0.6456,0.7922,0.1223,0.4015,0.4792
SVR,0.5197,0.5569,0.7209,0.0123,0.2659,0.2879,0.4816,0.5507,0.6940,0.3265,0.6811,0.5235
MLPRegressor,0.8362,0.7157,0.9145,-0.5893,0.2461,0.3001,0.5403,0.6352,0.7350,0.2445,0.5242,0.3795
