,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.5108,0.5777,0.7147,0.0292,0.2117,0.2092,0.6401,0.6734,0.8001,0.1049,0.4057,0.4777
DecisionTreeRegressor,0.5328,0.5148,0.7299,-0.0126,0.5051,0.4450,0.6049,0.6105,0.7777,0.1542,0.4315,0.3062
RandomForestRegressor,0.3552,0.4728,0.5960,0.3249,0.5870,0.5019,0.5347,0.5597,0.7312,0.2523,0.5024,0.3697
GradientBoostingRegressor,0.5025,0.5168,0.7088,0.0451,0.5359,0.4930,0.5570,0.5388,0.7463,0.2211,0.4881,0.4276
AdaBoostRegressor,0.3054,0.4443,0.5526,0.4195,0.6564,0.4976,0.5718,0.6090,0.7562,0.2005,0.4506,0.4303
XGBRegressor,0.5309,0.5285,0.7287,-0.0091,0.5221,0.4706,0.5142,0.5479,0.7170,0.2810,0.5314,0.4276
ExtraTreesRegressor,0.3140,0.4191,0.5604,0.4032,0.6793,0.5691,0.5641,0.5595,0.7511,0.2112,0.4775,0.3172
LinearRegression,0.5859,0.5863,0.7654,-0.1134,0.4236,0.4914,0.4948,0.4881,0.7034,0.3081,0.5999,0.5848
KNeighborsRegressor,0.3213,0.4471,0.5668,0.3893,0.6377,0.5837,0.4217,0.4728,0.6494,0.4103,0.6810,0.6067
SVR,0.4285,0.5132,0.6546,0.1857,0.4438,0.4636,0.4527,0.5381,0.6728,0.3670,0.6956,0.5793
MLPRegressor,0.6876,0.6226,0.8292,-0.3069,0.3289,0.4355,0.4066,0.5153,0.6377,0.4314,0.7037,0.6814
