,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.5359,0.6047,0.7320,-0.0185,-0.1795,-0.2310,0.7151,0.6961,0.8457,-0.0000,nan,nan
DecisionTreeRegressor,0.4264,0.5016,0.6530,0.1897,0.4553,0.4756,0.6752,0.6946,0.8217,0.0558,0.3039,0.2588
RandomForestRegressor,0.4306,0.5228,0.6562,0.1817,0.4349,0.4585,0.6745,0.6981,0.8213,0.0568,0.3022,0.2588
GradientBoostingRegressor,0.4318,0.5125,0.6571,0.1794,0.4416,0.4651,0.6767,0.6993,0.8226,0.0538,0.3002,0.2588
AdaBoostRegressor,0.4955,0.5720,0.7039,0.0582,0.3358,0.3481,0.6874,0.7279,0.8291,0.0387,0.2698,0.2325
XGBRegressor,0.4449,0.5197,0.6670,0.1545,0.4241,0.4449,0.6752,0.6946,0.8217,0.0559,0.3038,0.2588
ExtraTreesRegressor,0.4285,0.5072,0.6546,0.1856,0.4501,0.4599,0.6752,0.6946,0.8217,0.0558,0.3039,0.2588
LinearRegression,0.4249,0.5076,0.6518,0.1925,0.4528,0.4647,0.6804,0.6997,0.8249,0.0486,0.3000,0.2588
KNeighborsRegressor,0.6139,0.6275,0.7835,-0.1668,0.0923,0.1122,0.7104,0.6649,0.8428,0.0066,0.1874,0.1771
SVR,0.4662,0.5293,0.6828,0.1139,0.3955,0.3323,0.7275,0.6937,0.8529,-0.0173,0.2964,0.2588
MLPRegressor,0.7994,0.7128,0.8941,-0.5194,0.2261,0.3649,0.6943,0.7409,0.8333,0.0291,0.2926,0.2910
