,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.5984,0.6112,0.7735,-0.1372,0.2734,0.3020,0.5815,0.6387,0.7625,0.1869,0.4411,0.2279
LGBMRegressor,0.5075,0.5763,0.7124,0.0355,0.2117,0.1648,0.6806,0.7084,0.8250,0.0483,0.2399,0.1836
XGBRegressor,0.5845,0.6224,0.7645,-0.1109,0.2707,0.3028,0.6797,0.6943,0.8244,0.0496,0.3097,0.1423
DecisionTreeRegressor,0.6342,0.6518,0.7963,-0.2052,0.2120,0.2582,0.6903,0.6955,0.8308,0.0347,0.3048,0.0870
RandomForestRegressor,0.5460,0.6092,0.7389,-0.0377,0.2753,0.3066,0.5900,0.6421,0.7681,0.1750,0.4233,0.2445
GradientBoostingRegressor,0.5933,0.6276,0.7702,-0.1275,0.2544,0.2894,0.6306,0.6551,0.7941,0.1182,0.3778,0.1920
AdaBoostRegressor,0.5748,0.6259,0.7582,-0.0925,0.3113,0.3739,0.7246,0.7114,0.8512,-0.0132,0.2638,0.2030
SVR,0.5188,0.5555,0.7203,0.0140,0.2698,0.2971,0.5419,0.6206,0.7361,0.2423,0.5205,0.4185
LinearRegression,0.4891,0.5587,0.6993,0.0705,0.3212,0.2852,0.6698,0.6986,0.8184,0.0634,0.2916,0.2887
KNeighborsRegressor,0.6484,0.6508,0.8052,-0.2323,0.2620,0.3260,0.8058,0.7193,0.8977,-0.1268,0.2020,0.3025
MLPRegressor,1.8283,1.0457,1.3522,-2.4748,0.1779,0.1844,1.6855,1.0482,1.2983,-1.3569,0.1695,-0.0336
