,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.6734,0.6526,0.8206,-0.2799,0.2218,0.2621,0.5191,0.5826,0.7205,0.2741,0.5672,0.3715
LGBMRegressor,0.4912,0.5710,0.7008,0.0665,0.2632,0.2534,0.6428,0.6748,0.8017,0.1011,0.4245,0.2624
XGBRegressor,0.6525,0.6562,0.8078,-0.2402,0.2333,0.2785,0.6064,0.6409,0.7787,0.1520,0.4245,0.3384
DecisionTreeRegressor,0.7285,0.7033,0.8535,-0.3845,0.1974,0.2498,0.6056,0.6332,0.7782,0.1532,0.4191,0.2307
RandomForestRegressor,0.6068,0.6347,0.7789,-0.1532,0.2368,0.2891,0.5327,0.6033,0.7299,0.2550,0.5450,0.3384
GradientBoostingRegressor,0.6764,0.6729,0.8224,-0.2854,0.2015,0.2498,0.5513,0.6038,0.7425,0.2291,0.5204,0.3715
AdaBoostRegressor,0.5921,0.6449,0.7695,-0.1253,0.2961,0.3077,0.5703,0.6129,0.7552,0.2026,0.4749,0.3439
SVR,0.5905,0.6390,0.7684,-0.1223,0.1089,0.0993,0.5163,0.5792,0.7185,0.2780,0.6294,0.3743
LinearRegression,0.5622,0.6091,0.7498,-0.0684,0.2674,0.2923,0.5957,0.6316,0.7718,0.1671,0.4744,0.3550
KNeighborsRegressor,0.6975,0.6959,0.8352,-0.3256,0.1993,0.2659,0.5634,0.5754,0.7506,0.2122,0.5638,0.4406
MLPRegressor,1.0084,0.8001,1.0042,-0.9165,0.1767,0.1507,0.9942,0.8099,0.9971,-0.3902,0.3643,0.3992
