,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.6822,0.6573,0.8260,-0.2966,0.2124,0.2568,0.5100,0.5760,0.7141,0.2869,0.5835,0.3715
LGBMRegressor,0.4912,0.5710,0.7008,0.0665,0.2632,0.2534,0.6428,0.6748,0.8017,0.1011,0.4245,0.2624
XGBRegressor,0.6525,0.6562,0.8078,-0.2402,0.2333,0.2785,0.6064,0.6409,0.7787,0.1520,0.4245,0.3384
DecisionTreeRegressor,0.7501,0.7220,0.8661,-0.4255,0.1803,0.2221,0.6218,0.6422,0.7885,0.1305,0.3882,0.1644
RandomForestRegressor,0.6118,0.6388,0.7822,-0.1628,0.2356,0.2904,0.5286,0.5993,0.7270,0.2608,0.5520,0.3384
GradientBoostingRegressor,0.6781,0.6781,0.8234,-0.2887,0.2040,0.2479,0.5481,0.6033,0.7403,0.2336,0.5246,0.3715
AdaBoostRegressor,0.5522,0.6265,0.7431,-0.0495,0.3331,0.3374,0.5690,0.6149,0.7544,0.2043,0.4797,0.3881
SVR,0.5905,0.6390,0.7684,-0.1223,0.1089,0.0993,0.5163,0.5792,0.7186,0.2780,0.6294,0.3743
LinearRegression,0.5622,0.6091,0.7498,-0.0684,0.2674,0.2923,0.5957,0.6316,0.7718,0.1671,0.4744,0.3550
KNeighborsRegressor,0.6975,0.6959,0.8352,-0.3256,0.1993,0.2669,0.5634,0.5754,0.7506,0.2122,0.5638,0.4406
MLPRegressor,0.9938,0.8005,0.9969,-0.8888,0.2102,0.2159,1.3051,0.8932,1.1424,-0.8250,0.3011,0.3688
