,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.4669,0.5363,0.6833,0.1126,0.4959,0.2344,0.5529,0.5473,0.7436,0.2268,0.4765,0.4807
LGBMRegressor,0.5254,0.5894,0.7248,0.0015,0.1082,0.0861,0.6872,0.6663,0.8290,0.0390,0.2219,0.1983
XGBRegressor,0.5553,0.5597,0.7452,-0.0554,0.4513,0.2157,0.4818,0.4760,0.6941,0.3263,0.5759,0.7238
DecisionTreeRegressor,0.5402,0.5642,0.7350,-0.0267,0.4907,0.2901,0.5480,0.5042,0.7403,0.2337,0.5049,0.5242
RandomForestRegressor,0.4292,0.5346,0.6551,0.1844,0.4523,0.3015,0.4775,0.5311,0.6910,0.3323,0.6464,0.6713
GradientBoostingRegressor,0.4975,0.5525,0.7054,0.0544,0.4663,0.2562,0.4798,0.4918,0.6927,0.3290,0.5790,0.6492
AdaBoostRegressor,0.4413,0.5087,0.6643,0.1612,0.4837,0.2752,0.5042,0.5471,0.7101,0.2950,0.6228,0.6133
SVR,0.5718,0.5762,0.7562,-0.0867,0.1512,0.2114,0.4633,0.5630,0.6807,0.3521,0.7520,0.6740
LinearRegression,0.4972,0.5549,0.7051,0.0551,0.3047,0.2996,0.5446,0.5929,0.7379,0.2385,0.5262,0.3757
KNeighborsRegressor,0.6990,0.6568,0.8361,-0.3285,0.0831,0.1106,0.6035,0.6308,0.7769,0.1561,0.4199,0.4523
MLPRegressor,1.3660,0.8416,1.1687,-1.5961,0.0419,0.1254,1.4887,0.8967,1.2201,-1.0817,0.1461,0.3094
