,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.4071,0.4954,0.6381,0.2262,0.5569,0.3767,0.5483,0.5597,0.7405,0.2332,0.4841,0.3034
LGBMRegressor,0.5254,0.5894,0.7248,0.0015,0.1082,0.0861,0.6872,0.6663,0.8290,0.0390,0.2219,0.1983
XGBRegressor,0.4153,0.5114,0.6444,0.2107,0.5572,0.3560,0.4822,0.4825,0.6944,0.3258,0.5812,0.4828
DecisionTreeRegressor,0.4748,0.5165,0.6891,0.0976,0.5292,0.3557,0.4672,0.4633,0.6836,0.3466,0.5907,0.5269
RandomForestRegressor,0.3583,0.4867,0.5986,0.3190,0.5649,0.4020,0.4990,0.5428,0.7064,0.3022,0.6131,0.5131
GradientBoostingRegressor,0.3828,0.5050,0.6187,0.2725,0.5693,0.3588,0.5279,0.5006,0.7266,0.2618,0.5506,0.4166
AdaBoostRegressor,0.3508,0.4713,0.5923,0.3333,0.5931,0.3582,0.5351,0.5608,0.7315,0.2517,0.5437,0.4193
SVR,0.3890,0.5045,0.6237,0.2606,0.5213,0.4857,0.4893,0.5235,0.6995,0.3158,0.7591,0.7172
LinearRegression,0.6761,0.6349,0.8222,-0.2849,0.4455,0.4633,0.6205,0.5154,0.7877,0.1323,0.5933,0.6152
KNeighborsRegressor,0.4761,0.5648,0.6900,0.0951,0.4195,0.3716,0.4688,0.5027,0.6847,0.3445,0.6968,0.6740
MLPRegressor,1.4958,1.0538,1.2230,-1.8428,0.3911,0.4126,1.6044,0.9160,1.2666,-1.2435,0.0072,0.0607
