,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.4179,0.5002,0.6465,0.2058,0.5443,0.3419,0.5425,0.5566,0.7366,0.2414,0.4917,0.3034
LGBMRegressor,0.5254,0.5894,0.7248,0.0015,0.1082,0.0861,0.6872,0.6663,0.8290,0.0390,0.2219,0.1983
XGBRegressor,0.4153,0.5114,0.6444,0.2107,0.5572,0.3560,0.4822,0.4825,0.6944,0.3258,0.5812,0.4828
DecisionTreeRegressor,0.4898,0.5322,0.6998,0.0692,0.5283,0.3758,0.5158,0.4853,0.7182,0.2787,0.5317,0.4579
RandomForestRegressor,0.3577,0.4852,0.5981,0.3202,0.5659,0.4127,0.5061,0.5453,0.7114,0.2923,0.6037,0.5021
GradientBoostingRegressor,0.3867,0.5063,0.6218,0.2651,0.5674,0.3542,0.5421,0.5059,0.7363,0.2420,0.5325,0.3117
AdaBoostRegressor,0.3451,0.4701,0.5874,0.3442,0.5984,0.3925,0.5033,0.5332,0.7095,0.2961,0.6215,0.5967
SVR,0.3890,0.5044,0.6237,0.2606,0.5213,0.4857,0.4893,0.5235,0.6995,0.3158,0.7591,0.7172
LinearRegression,0.6761,0.6349,0.8222,-0.2849,0.4455,0.4633,0.6205,0.5154,0.7877,0.1323,0.5933,0.6152
KNeighborsRegressor,0.4823,0.5648,0.6944,0.0834,0.4117,0.3694,0.4557,0.4959,0.6750,0.3628,0.7068,0.6740
MLPRegressor,1.5570,1.0648,1.2478,-1.9592,0.3548,0.3421,1.7178,0.9220,1.3107,-1.4021,0.0560,0.1793
