,Train MSE (5 fold CV),Train MAE (5 fold CV),Train RMSE (5 fold CV),Train R2 (5 fold CV),Train PCC (5 fold CV),Train SCC (5 fold CV),Test MSE,Test MAE,Test RMSE,Test R2,Test PCC,Test SCC
LGBMRegressor,0.4500042351236079,0.5467638533094711,0.6708235499172699,0.14474818775402887,0.3975286998414656,0.3599909837497098,0.5331711924378993,0.6043272845807598,0.7301857246193597,0.2544419563047171,0.5382301049365182,0.5158625596792438
DecisionTreeRegressor,0.5859462907947774,0.5930011380784314,0.7654712867213096,-0.11361535729410766,0.5369022962243414,0.5735630721307028,0.3349655206404599,0.46234409690769235,0.5787620587430209,0.5316021536494377,0.7713648057579293,0.6225918941218168
RandomForestRegressor,0.3139187782026354,0.4213592739225497,0.5602845511011663,0.40338427285667966,0.6434682490973376,0.7018758714979855,0.32482988065717844,0.42030774458415465,0.5699384884855369,0.5457752898291747,0.767628863863302,0.705236835819403
GradientBoostingRegressor,0.37953344456099,0.4989377065456026,0.6160628576379118,0.2786808635710245,0.599373385123179,0.6339835322734901,0.31092379576367996,0.41414884534820556,0.5576054122438913,0.565220814260551,0.7828000079291572,0.7107464985992421
AdaBoostRegressor,0.3178245635030582,0.42844046354998533,0.5637593134512797,0.39596116503745504,0.6363935536363834,0.6166779839701557,0.32988956880923825,0.40743319245193454,0.5743601385970637,0.5387000928683086,0.7640909405540995,0.6666691963605295
XGBRegressor,0.3820434374548533,0.48473997494642307,0.6180966246913611,0.2739105174194789,0.6154536639265343,0.6651203899102223,0.24739353705796202,0.39025446759367477,0.49738670776163896,0.6540581259305868,0.8940855274638494,0.8787912133843343
ExtraTreesRegressor,0.3579071149105402,0.43734462390470613,0.5982533868776174,0.3197826048039607,0.5691056231000263,0.629647237097909,0.28209142775042334,0.3889880171643082,0.5311227991250455,0.6055384536903479,0.8564285071751563,0.7190109927690008
LinearRegression,6.2387003355033475,2.0608457370278774,2.497739044716911,-10.856910116708521,0.04129928070145942,0.007510188491481269,2.0403762561381997,1.1601326740550513,1.4284173956299326,-1.853152892550331,0.021836082697002036,-0.08539977308750583
KNeighborsRegressor,0.5389998856750028,0.5730525532901961,0.7341661158586678,-0.02439175688489792,0.2706169144035529,0.3041569569829775,0.43886660835767566,0.5188746767230769,0.6624700811038002,0.3863124365849099,0.6448377705117868,0.5674952663234258
SVR,0.4681639290554844,0.5492627408810615,0.6842250573133699,0.11023493224921477,0.3574412872231803,0.3133075413231384,0.3917834963187914,0.4711887867355321,0.6259261109098991,0.4521509391159426,0.7147559558805461,0.6556498708008512
MLPRegressor,0.84027934401448,0.7736248589825858,0.9166675209771971,-0.5969859296187285,0.3436104219903944,0.40259770151822033,0.9141518049326828,0.8751193609066672,0.956112862026593,-0.2783009303442556,0.6365193571113987,0.5316824582544718
