,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3631,0.4857,0.6026,0.3100,0.5582,0.5776,0.4598,0.5331,0.6781,0.3571,0.6445,0.5372
DecisionTreeRegressor,0.7639,0.6019,0.8740,-0.4519,0.2307,0.3723,0.2954,0.3949,0.5435,0.5869,0.8118,0.8540
RandomForestRegressor,0.3942,0.4969,0.6279,0.2508,0.5036,0.5476,0.4073,0.5197,0.6382,0.4305,0.7204,0.5510
GradientBoostingRegressor,0.4819,0.5129,0.6942,0.0842,0.4136,0.4210,0.3657,0.4797,0.6047,0.4886,0.7547,0.5950
AdaBoostRegressor,0.4093,0.5035,0.6397,0.2222,0.5043,0.5290,0.3968,0.4889,0.6300,0.4451,0.7130,0.6860
XGBRegressor,0.4563,0.5207,0.6755,0.1327,0.4329,0.4476,0.3227,0.4525,0.5681,0.5487,0.8195,0.8209
ExtraTreesRegressor,0.4109,0.5152,0.6410,0.2190,0.4757,0.4997,0.3978,0.4944,0.6307,0.4437,0.6992,0.5455
LinearRegression,0.7142,0.6897,0.8451,-0.3573,0.3499,0.3566,0.2715,0.3656,0.5211,0.6204,0.7970,0.8650
KNeighborsRegressor,0.3805,0.4852,0.6168,0.2769,0.5437,0.5865,0.3310,0.4426,0.5753,0.5372,0.7773,0.6997
SVR,0.3992,0.5217,0.6318,0.2412,0.4917,0.5065,0.3576,0.4699,0.5980,0.5000,0.8049,0.7879
MLPRegressor,1.6075,0.9534,1.2679,-2.0552,0.1689,0.1484,0.8166,0.7222,0.9037,-0.1419,0.6543,0.5950
