,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3418,0.4675,0.5846,0.3504,0.5971,0.6035,0.4300,0.5351,0.6557,0.3987,0.6831,0.5399
DecisionTreeRegressor,0.5534,0.5696,0.7439,-0.0518,0.3846,0.3979,0.4084,0.4530,0.6391,0.4289,0.6705,0.7245
RandomForestRegressor,0.3556,0.4791,0.5963,0.3242,0.5694,0.5848,0.3866,0.4997,0.6218,0.4594,0.7322,0.5813
GradientBoostingRegressor,0.4495,0.4967,0.6705,0.1457,0.4491,0.4728,0.3378,0.4474,0.5812,0.5277,0.7756,0.6143
AdaBoostRegressor,0.4068,0.4995,0.6378,0.2268,0.5007,0.5129,0.3859,0.4918,0.6212,0.4604,0.7309,0.6061
XGBRegressor,0.4499,0.5205,0.6707,0.1450,0.4409,0.4682,0.4057,0.5144,0.6369,0.4327,0.6991,0.6143
ExtraTreesRegressor,0.3879,0.4981,0.6228,0.2627,0.5172,0.5538,0.4125,0.4901,0.6423,0.4232,0.6678,0.5289
LinearRegression,0.7219,0.6952,0.8496,-0.3720,0.4525,0.4587,0.4100,0.4836,0.6403,0.4267,0.7531,0.8375
KNeighborsRegressor,0.3293,0.4557,0.5739,0.3741,0.6175,0.6491,0.3770,0.5129,0.6140,0.4729,0.7319,0.5565
SVR,0.3558,0.4933,0.5965,0.3237,0.5725,0.5716,0.3359,0.4440,0.5796,0.5303,0.8209,0.7961
MLPRegressor,1.2391,0.8973,1.1131,-1.3549,0.3191,0.2797,0.8849,0.7360,0.9407,-0.2373,0.6300,0.5014
