,Train MSE (5 fold CV),Train MAE (5 fold CV),Train RMSE (5 fold CV),Train R2 (5 fold CV),Train PCC (5 fold CV),Train SCC (5 fold CV),Test MSE,Test MAE,Test RMSE,Test R2,Test PCC,Test SCC
LGBMRegressor,0.13049653950341397,0.26299630896282156,0.36124304768869114,0.7904037080294276,0.8890566680792552,0.8693553581053312,0.2023470434579616,0.3197528201764713,0.44983001618162566,0.681727824821792,0.8259072566493033,0.8078187404387124
DecisionTreeRegressor,0.27663383877110553,0.3833901905892558,0.5259599212593157,0.555686096653222,0.7822435167834042,0.7584435785621826,0.23402646806591965,0.3450254344045019,0.48376282212042676,0.6318991779284976,0.7973080949804717,0.773569757224464
RandomForestRegressor,0.13175918485449387,0.2631663228019832,0.3629864802640642,0.7883757172132168,0.8879676759181333,0.8684878463014558,0.20680953162670973,0.32270704335214306,0.4547631599269116,0.6747087659222754,0.8217288019940752,0.8033929871507208
GradientBoostingRegressor,0.132819922998919,0.26420543120332246,0.36444467755603044,0.7866720185353109,0.8869496195585833,0.869160470658648,0.20159914744705681,0.3191969918136373,0.44899793701870927,0.6829041923442916,0.826643309882518,0.8094385579774721
AdaBoostRegressor,0.1857899858906982,0.3307576527457802,0.4310336250116668,0.7015944462884661,0.8511245462829508,0.8377738611872599,0.2287327886859525,0.3653839756540286,0.4782601684083178,0.6402256195812426,0.8113772437426485,0.8010662064981824
XGBRegressor,0.14974011472276885,0.2832635220317599,0.3869626787207894,0.7594957465954919,0.8725122362550299,0.850426248922345,0.2086450601988549,0.326385825459906,0.4567768166171034,0.6718216584000952,0.8202737151819693,0.8038493197735634
ExtraTreesRegressor,0.13018213845760043,0.26308900421483383,0.3608076197332873,0.7909086815225559,0.8893993286226834,0.8697110255416496,0.2031886396486063,0.3203966177200614,0.4507645057550631,0.6804040760501731,0.825103844375126,0.8056559652663693
LinearRegression,0.12944271509489813,0.2598937482806388,0.35978148242356517,0.7920963022488109,0.8900008717361196,0.8712526789564028,0.2010578250986039,0.31833923891968086,0.44839472019483445,0.6837556396319338,0.82712691768229,0.8094588226092546
KNeighborsRegressor,0.15699508902171988,0.28999254952265413,0.3962260579791792,0.7478432099290913,0.8648104827178664,0.846335058681146,0.2097342349199602,0.3294829970808764,0.45796750421832355,0.6701084927332723,0.8190096581246595,0.7979925535929427
SVR,0.13590843574138375,0.2642497918484495,0.36865761316075346,0.781711420951744,0.8845531251455405,0.8694393232633949,0.2001497968584593,0.316087143904406,0.4473810421312679,0.6851838795418197,0.8290168684645765,0.8105936746096323
MLPRegressor,0.1384378147618836,0.27069077111936835,0.37207232463848156,0.7776488728895323,0.8821728950314773,0.8622665147666171,0.20124490607155446,0.3200903142921547,0.4486032836165541,0.683461379497573,0.8274121305479607,0.8096173942803309
