,Train MSE (5 fold CV),Train MAE (5 fold CV),Train RMSE (5 fold CV),Train R2 (5 fold CV),Train PCC (5 fold CV),Train SCC (5 fold CV),Test MSE,Test MAE,Test RMSE,Test R2,Test PCC,Test SCC
LGBMRegressor,0.13169002992224632,0.2649531474888701,0.36289120948604736,0.7884867900234669,0.8879774821580249,0.8682699753524773,0.20445223556657202,0.3226941591461273,0.45216394766342444,0.6784165628427424,0.8238312287130796,0.8068142463066214
DecisionTreeRegressor,0.27299276006177253,0.3818966434303888,0.5224870908087323,0.5615341949947816,0.7877837786009145,0.7637486001522558,0.23385357589901998,0.34866832281202104,0.4835840939268164,0.6321711204540224,0.7978377054522643,0.7709215834146397
RandomForestRegressor,0.13272372177778743,0.26527396184831187,0.36431267035032894,0.7868265315922007,0.8871210729194532,0.8679317512726928,0.20716572495828872,0.32335262053944214,0.4551546165406748,0.6741485085323562,0.8213334120729641,0.8040983446741097
GradientBoostingRegressor,0.1337713891899382,0.2655313290985222,0.36574771248763566,0.785143826398325,0.8861011375483547,0.8678054218168534,0.20295973666029551,0.32098514711881265,0.45051052891169535,0.6807641181380113,0.8253255931660355,0.8089095261605156
AdaBoostRegressor,0.18017533546621392,0.3245534316501066,0.4244706532449728,0.7106123858764513,0.8531837906580664,0.8450639307286099,0.22580448052558472,0.3608267244409643,0.4751888893120132,0.6448315628748296,0.8098229974490201,0.8024679661438114
XGBRegressor,0.15234223297305938,0.2844214748280183,0.3903104315452757,0.7553163688234432,0.869976188394971,0.8504334700972962,0.21147632569723135,0.3299504107307161,0.4598655517618507,0.6673683537543937,0.8174462919348515,0.799619410710984
ExtraTreesRegressor,0.131590492630293,0.2642627465529989,0.3627540387511805,0.788646661291974,0.8881240286058993,0.8685126579483333,0.20502449474401196,0.3225129802224709,0.4527963060185142,0.6775164549387327,0.8232965432083145,0.8043415088137411
LinearRegression,0.12955194788079563,0.2602430342696578,0.35993325475815047,0.7919208586165671,0.8899021357897058,0.8715684321247303,0.20284285337719812,0.31995668796362164,0.45038078708710266,0.6809479641488925,0.8254435721713738,0.8076872992209061
KNeighborsRegressor,0.1529185685904973,0.28495404013073855,0.39104803872478033,0.7543906905732365,0.8686227747555197,0.8503590972882596,0.2160143905967323,0.32960733802111114,0.4647734831041163,0.6602304200243954,0.8129690607405743,0.8032566770733455
SVR,0.13879496557842175,0.2671754814238485,0.3725519635949081,0.7770752370896443,0.8819680387410385,0.868752273899188,0.20419082261057112,0.3180349526448412,0.4518747864293505,0.6788277399407832,0.8250915734827421,0.811389823055239
MLPRegressor,0.1355887789743978,0.26764562445943485,0.3682238164138732,0.7822248358922359,0.8850537644633303,0.8641509084479011,0.20371418320425433,0.323202753828048,0.45134707621104,0.6795774472655438,0.8259281936376982,0.8073703672097687
