,Train MSE (5 fold CV),Train MAE (5 fold CV),Train RMSE (5 fold CV),Train R2 (5 fold CV),Train PCC (5 fold CV),Train SCC (5 fold CV),Test MSE,Test MAE,Test RMSE,Test R2,Test PCC,Test SCC
LGBMRegressor,0.20337791629896745,0.3316232575160765,0.45097440758757856,0.6733456895701834,0.8206190115672904,0.7901579803197171,0.2048002928926273,0.32412534107238555,0.4525486635629668,0.6778691025964387,0.8234550426680004,0.8083293637856358
DecisionTreeRegressor,0.41731723876548327,0.4795922323297884,0.6460009587961022,0.32972823529657647,0.6800106186964201,0.6420232149272422,0.2425584325687289,0.35721968648687735,0.4925022158008316,0.6184792294358155,0.7898640973742358,0.7651168248475188
RandomForestRegressor,0.20116366589110052,0.331266264767571,0.44851272656536795,0.6769020955618618,0.8228708541052536,0.7929764357676728,0.20873395089801194,0.3271946163761553,0.45687410836904724,0.6716818419951192,0.8196481829098848,0.800501863184461
GradientBoostingRegressor,0.20137687356223105,0.33072251274209324,0.4487503465873102,0.6765596532453169,0.82259057369376,0.7927262389293965,0.20171464403532724,0.32348800439756653,0.4491265345482576,0.6827225274692024,0.826400294557202,0.8090338620602627
AdaBoostRegressor,0.2634490300526743,0.4014454538224976,0.5132728612080267,0.5768628039302158,0.7798312602629309,0.752032311956223,0.24105445421127228,0.38381647408575176,0.4909729668844022,0.6208448407888082,0.8078109618768086,0.7872861266504562
XGBRegressor,0.23507483877459853,0.358418290240542,0.4848451698992149,0.622435853623176,0.7919432555190073,0.7602360844697323,0.21438268048406453,0.3303318251065997,0.4630147735051923,0.6627969409774279,0.8142770119940106,0.7970318245960245
ExtraTreesRegressor,0.19576540827571745,0.3263767650798277,0.44245384875229354,0.6855724770416449,0.8281821746993189,0.7992661889173411,0.21015939310409834,0.3287630679130468,0.45843144864210433,0.669439760352764,0.8182122830272638,0.8000246279220992
LinearRegression,0.19898046223446242,0.3284300315045385,0.4460722612250872,0.6804086359865293,0.8249124043806995,0.7952614422246076,0.2009500157463554,0.32158186461998955,0.448274487057155,0.6839252132340893,0.8271452815274989,0.8084464869842334
KNeighborsRegressor,0.2303247115485689,0.35457938988798404,0.4799215681218848,0.6300652440786849,0.794912867749055,0.7631736079206471,0.2291018747451809,0.34400965643796455,0.4786458761393238,0.6396450831874751,0.8000584404373559,0.7740350592904202
SVR,0.21235810898407007,0.3338576194287892,0.46082329474980976,0.6589222029770425,0.8127953537936554,0.7855952553686381,0.20836342744522043,0.32116040344696334,0.4564684298450665,0.6722646392688485,0.8216164826690212,0.809037902391446
MLPRegressor,0.20709480010633396,0.33677256696902585,0.45507669694935377,0.6673758372915404,0.8172086700472188,0.7850449217684332,0.2016540913331536,0.32671708865557675,0.4490591178599468,0.6828177709672261,0.8263518610304795,0.8073308928006775
