,Train MSE (5 fold CV),Train MAE (5 fold CV),Train RMSE (5 fold CV),Train R2 (5 fold CV),Train PCC (5 fold CV),Train SCC (5 fold CV),Test MSE,Test MAE,Test RMSE,Test R2,Test PCC,Test SCC
LGBMRegressor,0.13077540594829262,0.26327925573811506,0.3616288234478726,0.7899558082381841,0.8887967181318873,0.8693893760618233,0.2029427492195852,0.319405986762677,0.4504916749725628,0.680790837726364,0.8252987971477044,0.80759350829185
DecisionTreeRegressor,0.26542574557948506,0.37574432227602456,0.5151948617557099,0.5736879132681583,0.7890568656781872,0.7634636476002793,0.24262146667757054,0.35216368462734676,0.49256620537504453,0.618380082926983,0.7901880204347234,0.7695531840233529
RandomForestRegressor,0.13264709343567788,0.2640224156967874,0.3642074867924572,0.7869496077781833,0.8872111193445273,0.8674680842355722,0.20654671164278784,0.32221223885504546,0.45447410447987885,0.6751221561380829,0.8219424500110736,0.8027284467624564
GradientBoostingRegressor,0.13144058841273176,0.263805581015384,0.3625473602341241,0.7888874291182408,0.8882151530144432,0.8695972094197192,0.20155170183464724,0.31858141644922466,0.4489450989092622,0.6829788196677563,0.8267137416526714,0.809399708663235
AdaBoostRegressor,0.18399579195556529,0.32867119538157474,0.4289473067354139,0.7044761809100198,0.8509553207021858,0.8464347594176513,0.22795550433826092,0.3644224343906975,0.477446860224529,0.6414482120928212,0.8096174020085483,0.8023836679954288
XGBRegressor,0.15019090118194606,0.2844843794632767,0.38754470862333557,0.7587717184283572,0.8719370926107296,0.848237420056662,0.20823338756982152,0.3235747999525579,0.4563259663549966,0.672469179316955,0.8203816517033946,0.8036929094583682
ExtraTreesRegressor,0.13126697069240642,0.2638474060975734,0.36230783967836855,0.7891662842552357,0.8884376342791281,0.8691595145247925,0.2039606969263577,0.32136533490745145,0.45162008029576994,0.6791897052100914,0.8243137290689566,0.8050643609896861
LinearRegression,0.12974007016467257,0.2605921110786236,0.3601944893591136,0.7916187070554016,0.8897311442079777,0.8707866357708414,0.20147801267281168,0.3184964503096387,0.4488630221713654,0.6830947255363258,0.8267465423335565,0.8092457764760861
KNeighborsRegressor,0.15810272195357167,0.2930084018387905,0.3976213298523756,0.7460641914488766,0.8638607572774949,0.8437610169991935,0.20825336944609824,0.3253518169172845,0.45634786013095124,0.672437749773345,0.8203996992902428,0.804171754181349
SVR,0.13773442519074622,0.2681070777070446,0.3711258886021645,0.7787786181416454,0.8828024295808282,0.8683555079867477,0.20290546821195943,0.3175231418747501,0.45045029494047334,0.6808494771173188,0.8264339577469245,0.8114578694175772
MLPRegressor,0.135930066267604,0.26749981538711654,0.36868694887072423,0.7816766792022203,0.8855830153139279,0.8645959375105984,0.2025965769298291,0.32114681055448163,0.45010729490847967,0.6813353329943166,0.8279708798221104,0.8099258285601229
