,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2977,0.4033,0.5456,0.5219,0.7236,0.6859,0.3089,0.4058,0.5558,0.5141,0.7177,0.7012
DecisionTreeRegressor,0.3572,0.4106,0.5976,0.4263,0.6788,0.6647,0.3092,0.3913,0.5560,0.5137,0.7222,0.7161
RandomForestRegressor,0.2816,0.3839,0.5307,0.5477,0.7405,0.7049,0.2886,0.3870,0.5372,0.5461,0.7398,0.7200
GradientBoostingRegressor,0.3288,0.4318,0.5734,0.4719,0.6926,0.6446,0.3406,0.4364,0.5836,0.4643,0.6862,0.6638
AdaBoostRegressor,0.5415,0.5894,0.7359,0.1302,0.4651,0.4234,0.5359,0.5847,0.7320,0.1571,0.4833,0.4426
XGBRegressor,0.2804,0.3826,0.5295,0.5497,0.7427,0.7071,0.2834,0.3830,0.5323,0.5543,0.7455,0.7244
ExtraTreesRegressor,0.2808,0.3808,0.5299,0.5491,0.7433,0.7086,0.2905,0.3864,0.5389,0.5431,0.7391,0.7181
LinearRegression,0.4857,0.5260,0.6969,0.2199,0.4691,0.4769,0.4961,0.5283,0.7043,0.2198,0.4695,0.4872
KNeighborsRegressor,0.3292,0.4117,0.5737,0.4713,0.6973,0.6601,0.3350,0.4105,0.5788,0.4731,0.6977,0.6813
SVR,0.3532,0.4252,0.5943,0.4328,0.6629,0.6386,0.3808,0.4332,0.6171,0.4010,0.6423,0.6382
MLPRegressor,0.3205,0.4142,0.5661,0.4852,0.6972,0.6660,0.3456,0.4249,0.5879,0.4564,0.6772,0.6613
