,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2479,0.3663,0.4979,0.6018,0.7771,0.7348,0.2540,0.3665,0.5040,0.6005,0.7764,0.7500
DecisionTreeRegressor,0.3790,0.4336,0.6156,0.3912,0.6821,0.6400,0.3001,0.3900,0.5478,0.5280,0.7383,0.6991
RandomForestRegressor,0.2639,0.3756,0.5137,0.5762,0.7603,0.7135,0.2578,0.3637,0.5077,0.5946,0.7717,0.7383
GradientBoostingRegressor,0.2897,0.4054,0.5383,0.5347,0.7387,0.6926,0.2900,0.4045,0.5385,0.5439,0.7474,0.7145
AdaBoostRegressor,0.4790,0.5529,0.6921,0.2307,0.5450,0.4816,0.4687,0.5475,0.6846,0.2628,0.5745,0.5316
XGBRegressor,0.2306,0.3487,0.4802,0.6297,0.7937,0.7496,0.2257,0.3423,0.4751,0.6450,0.8034,0.7746
ExtraTreesRegressor,0.2768,0.3816,0.5261,0.5554,0.7512,0.7074,0.2612,0.3680,0.5110,0.5892,0.7709,0.7286
LinearRegression,0.3888,0.4423,0.6235,0.3755,0.6347,0.6579,0.3746,0.4404,0.6120,0.4108,0.6505,0.6811
KNeighborsRegressor,0.3450,0.4327,0.5873,0.4459,0.6785,0.6366,0.3340,0.4216,0.5779,0.4747,0.6949,0.6634
SVR,0.3018,0.3917,0.5494,0.5153,0.7217,0.6984,0.3015,0.3905,0.5491,0.5257,0.7285,0.7084
MLPRegressor,0.3655,0.4111,0.6046,0.4130,0.6793,0.6989,0.2837,0.3810,0.5326,0.5538,0.7482,0.7417
