,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2479,0.3663,0.4979,0.6018,0.7771,0.7348,0.2540,0.3665,0.5040,0.6005,0.7764,0.7500
DecisionTreeRegressor,0.3842,0.4350,0.6198,0.3830,0.6782,0.6406,0.2988,0.3885,0.5467,0.5299,0.7394,0.6975
RandomForestRegressor,0.2637,0.3753,0.5135,0.5765,0.7605,0.7139,0.2582,0.3641,0.5081,0.5939,0.7713,0.7379
GradientBoostingRegressor,0.2898,0.4054,0.5384,0.5345,0.7386,0.6927,0.2901,0.4046,0.5386,0.5436,0.7473,0.7142
AdaBoostRegressor,0.4826,0.5567,0.6947,0.2249,0.5422,0.4693,0.4779,0.5532,0.6913,0.2484,0.5633,0.5189
XGBRegressor,0.2306,0.3487,0.4802,0.6297,0.7937,0.7496,0.2257,0.3423,0.4751,0.6450,0.8034,0.7746
ExtraTreesRegressor,0.2768,0.3815,0.5261,0.5554,0.7513,0.7075,0.2612,0.3676,0.5111,0.5892,0.7707,0.7288
LinearRegression,0.3888,0.4423,0.6235,0.3755,0.6347,0.6579,0.3746,0.4404,0.6120,0.4108,0.6505,0.6811
KNeighborsRegressor,0.3454,0.4329,0.5877,0.4453,0.6783,0.6367,0.3340,0.4215,0.5779,0.4746,0.6950,0.6636
SVR,0.3018,0.3917,0.5494,0.5153,0.7217,0.6984,0.3015,0.3905,0.5491,0.5257,0.7285,0.7083
MLPRegressor,0.3709,0.4130,0.6090,0.4043,0.6762,0.6869,0.3159,0.3979,0.5621,0.5031,0.7250,0.7269
