,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2118,0.3398,0.4602,0.6598,0.8134,0.7783,0.2116,0.3336,0.4600,0.6672,0.8186,0.7973
DecisionTreeRegressor,0.4510,0.4806,0.6716,0.2756,0.6467,0.6221,0.2674,0.3740,0.5171,0.5795,0.7660,0.7381
RandomForestRegressor,0.2177,0.3462,0.4666,0.6504,0.8074,0.7739,0.2202,0.3399,0.4693,0.6536,0.8095,0.7888
GradientBoostingRegressor,0.2237,0.3518,0.4730,0.6406,0.8028,0.7634,0.2228,0.3445,0.4720,0.6496,0.8099,0.7802
AdaBoostRegressor,0.3759,0.4957,0.6131,0.3963,0.6651,0.6056,0.3599,0.4815,0.5999,0.4339,0.7003,0.6673
XGBRegressor,0.2405,0.3604,0.4904,0.6138,0.7845,0.7516,0.2172,0.3362,0.4661,0.6583,0.8118,0.7893
ExtraTreesRegressor,0.2125,0.3404,0.4610,0.6587,0.8117,0.7782,0.2185,0.3367,0.4674,0.6563,0.8102,0.7916
LinearRegression,1.3376,0.7012,1.1565,-1.1484,0.3955,0.5102,0.6698,0.5304,0.8184,-0.0536,0.5335,0.6106
KNeighborsRegressor,0.2727,0.3812,0.5222,0.5621,0.7579,0.7256,0.2750,0.3730,0.5244,0.5674,0.7587,0.7518
SVR,0.2294,0.3444,0.4790,0.6315,0.7979,0.7692,0.2384,0.3487,0.4882,0.6251,0.7949,0.7737
MLPRegressor,0.4485,0.4917,0.6697,0.2797,0.6449,0.6188,0.2667,0.3675,0.5164,0.5805,0.7691,0.7644
