,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2155,0.3431,0.4642,0.6538,0.8094,0.7736,0.2155,0.3375,0.4642,0.6611,0.8147,0.7931
DecisionTreeRegressor,0.4447,0.4756,0.6668,0.2858,0.6499,0.6266,0.2713,0.3765,0.5209,0.5733,0.7610,0.7376
RandomForestRegressor,0.2204,0.3467,0.4694,0.6460,0.8046,0.7708,0.2207,0.3410,0.4698,0.6528,0.8091,0.7877
GradientBoostingRegressor,0.2233,0.3517,0.4725,0.6414,0.8033,0.7618,0.2261,0.3465,0.4756,0.6443,0.8064,0.7797
AdaBoostRegressor,0.3800,0.5000,0.6165,0.3896,0.6581,0.5913,0.3612,0.4824,0.6010,0.4319,0.6995,0.6625
XGBRegressor,0.2423,0.3643,0.4923,0.6108,0.7829,0.7493,0.2201,0.3399,0.4692,0.6537,0.8087,0.7828
ExtraTreesRegressor,0.2103,0.3392,0.4586,0.6622,0.8139,0.7818,0.2170,0.3360,0.4659,0.6586,0.8116,0.7927
LinearRegression,0.6341,0.4920,0.7963,-0.0184,0.5836,0.6615,0.4556,0.4351,0.6750,0.2834,0.6484,0.7086
KNeighborsRegressor,0.2804,0.3856,0.5295,0.5497,0.7503,0.7143,0.2837,0.3774,0.5326,0.5538,0.7503,0.7494
SVR,0.2386,0.3514,0.4884,0.6168,0.7889,0.7595,0.2458,0.3526,0.4958,0.6133,0.7878,0.7679
MLPRegressor,0.3889,0.4635,0.6236,0.3754,0.6751,0.6249,0.2461,0.3608,0.4961,0.6129,0.7833,0.7785
