,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2118,0.3398,0.4602,0.6598,0.8134,0.7783,0.2116,0.3336,0.4600,0.6672,0.8186,0.7973
DecisionTreeRegressor,0.4615,0.4848,0.6794,0.2587,0.6402,0.6157,0.2732,0.3751,0.5227,0.5702,0.7605,0.7371
RandomForestRegressor,0.2177,0.3457,0.4666,0.6504,0.8074,0.7738,0.2203,0.3401,0.4694,0.6534,0.8095,0.7889
GradientBoostingRegressor,0.2235,0.3516,0.4727,0.6410,0.8030,0.7635,0.2230,0.3446,0.4722,0.6492,0.8096,0.7804
AdaBoostRegressor,0.3792,0.4995,0.6158,0.3910,0.6605,0.6008,0.3635,0.4832,0.6029,0.4282,0.6953,0.6667
XGBRegressor,0.2405,0.3604,0.4904,0.6138,0.7845,0.7516,0.2172,0.3362,0.4661,0.6583,0.8118,0.7893
ExtraTreesRegressor,0.2148,0.3410,0.4634,0.6551,0.8094,0.7777,0.2173,0.3349,0.4662,0.6582,0.8113,0.7925
LinearRegression,1.3376,0.7012,1.1565,-1.1484,0.3955,0.5102,0.6698,0.5304,0.8184,-0.0536,0.5335,0.6106
KNeighborsRegressor,0.2727,0.3812,0.5222,0.5621,0.7579,0.7256,0.2750,0.3730,0.5244,0.5674,0.7587,0.7518
SVR,0.2294,0.3444,0.4790,0.6315,0.7979,0.7692,0.2384,0.3487,0.4882,0.6251,0.7949,0.7737
MLPRegressor,0.5173,0.5249,0.7193,0.1691,0.6245,0.5898,0.2980,0.3986,0.5459,0.5313,0.7496,0.7019
