,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2071,0.3344,0.4551,0.6674,0.8173,0.7851,0.2079,0.3287,0.4559,0.6730,0.8211,0.8021
DecisionTreeRegressor,0.3005,0.3825,0.5482,0.5174,0.7392,0.7212,0.2352,0.3458,0.4850,0.6300,0.7947,0.7727
RandomForestRegressor,0.2148,0.3428,0.4635,0.6549,0.8094,0.7765,0.2191,0.3390,0.4680,0.6554,0.8100,0.7895
GradientBoostingRegressor,0.2222,0.3502,0.4714,0.6430,0.8045,0.7648,0.2219,0.3448,0.4711,0.6509,0.8106,0.7823
AdaBoostRegressor,0.3757,0.4928,0.6129,0.3966,0.6614,0.6280,0.3649,0.4819,0.6041,0.4261,0.6862,0.6822
XGBRegressor,0.2145,0.3415,0.4631,0.6555,0.8104,0.7776,0.2105,0.3286,0.4588,0.6689,0.8180,0.7961
ExtraTreesRegressor,0.2071,0.3367,0.4551,0.6673,0.8169,0.7852,0.2165,0.3349,0.4653,0.6595,0.8123,0.7919
LinearRegression,0.5854,0.4566,0.7651,0.0597,0.6037,0.6970,0.3775,0.3955,0.6144,0.4063,0.6924,0.7466
KNeighborsRegressor,0.2760,0.3833,0.5254,0.5567,0.7529,0.7173,0.2691,0.3741,0.5187,0.5768,0.7624,0.7508
SVR,0.2300,0.3441,0.4795,0.6306,0.7974,0.7685,0.2380,0.3470,0.4879,0.6256,0.7953,0.7751
MLPRegressor,0.3440,0.4472,0.5865,0.4475,0.7173,0.6788,0.2676,0.3913,0.5173,0.5791,0.7720,0.7603
