,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2104,0.3378,0.4587,0.6621,0.8142,0.7836,0.2077,0.3263,0.4557,0.6734,0.8218,0.8020
DecisionTreeRegressor,0.3131,0.3910,0.5596,0.4971,0.7270,0.7015,0.2419,0.3500,0.4918,0.6196,0.7881,0.7654
RandomForestRegressor,0.2197,0.3461,0.4687,0.6471,0.8045,0.7724,0.2226,0.3392,0.4718,0.6499,0.8065,0.7842
GradientBoostingRegressor,0.2313,0.3570,0.4809,0.6286,0.7955,0.7599,0.2282,0.3462,0.4777,0.6410,0.8047,0.7787
AdaBoostRegressor,0.3985,0.5087,0.6313,0.3599,0.6337,0.5863,0.3683,0.4880,0.6069,0.4207,0.6854,0.6577
XGBRegressor,0.2191,0.3431,0.4681,0.6481,0.8057,0.7720,0.2176,0.3324,0.4665,0.6578,0.8112,0.7923
ExtraTreesRegressor,0.2095,0.3387,0.4578,0.6634,0.8145,0.7837,0.2169,0.3343,0.4657,0.6588,0.8118,0.7915
LinearRegression,0.2964,0.3963,0.5445,0.5239,0.7295,0.7142,0.3248,0.4000,0.5699,0.4891,0.7081,0.7306
KNeighborsRegressor,0.2771,0.3831,0.5264,0.5549,0.7511,0.7192,0.2827,0.3792,0.5317,0.5553,0.7492,0.7448
SVR,0.2196,0.3367,0.4686,0.6473,0.8077,0.7816,0.2255,0.3374,0.4749,0.6453,0.8077,0.7937
MLPRegressor,0.2498,0.3636,0.4998,0.5987,0.7822,0.7554,0.2323,0.3442,0.4820,0.6345,0.7997,0.7864
