,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2035,0.3322,0.4512,0.6731,0.8208,0.7880,0.2067,0.3275,0.4547,0.6748,0.8223,0.8024
DecisionTreeRegressor,0.2903,0.3799,0.5388,0.5337,0.7474,0.7197,0.2386,0.3491,0.4884,0.6248,0.7915,0.7689
RandomForestRegressor,0.2140,0.3422,0.4626,0.6562,0.8102,0.7777,0.2200,0.3390,0.4690,0.6540,0.8091,0.7893
GradientBoostingRegressor,0.2191,0.3485,0.4681,0.6480,0.8076,0.7682,0.2210,0.3438,0.4701,0.6524,0.8114,0.7823
AdaBoostRegressor,0.3817,0.4970,0.6178,0.3869,0.6558,0.6114,0.3666,0.4830,0.6055,0.4233,0.6864,0.6648
XGBRegressor,0.2158,0.3413,0.4646,0.6534,0.8089,0.7763,0.2110,0.3290,0.4593,0.6681,0.8176,0.7959
ExtraTreesRegressor,0.2088,0.3376,0.4570,0.6646,0.8152,0.7840,0.2173,0.3356,0.4661,0.6583,0.8115,0.7905
LinearRegression,1.1691,0.6272,1.0812,-0.8777,0.4267,0.5703,0.5238,0.4688,0.7237,0.1761,0.6087,0.6699
KNeighborsRegressor,0.2726,0.3814,0.5221,0.5622,0.7562,0.7205,0.2702,0.3750,0.5198,0.5749,0.7616,0.7482
SVR,0.2226,0.3385,0.4718,0.6425,0.8048,0.7764,0.2331,0.3444,0.4828,0.6334,0.8001,0.7792
MLPRegressor,0.3663,0.4542,0.6052,0.4117,0.6992,0.6548,0.2620,0.3714,0.5119,0.5879,0.7690,0.7393
