,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2065,0.3338,0.4544,0.6684,0.8180,0.7853,0.2091,0.3294,0.4573,0.6711,0.8201,0.8016
DecisionTreeRegressor,0.3057,0.3879,0.5529,0.5090,0.7328,0.7129,0.2516,0.3538,0.5016,0.6042,0.7797,0.7640
RandomForestRegressor,0.2164,0.3430,0.4651,0.6525,0.8079,0.7750,0.2228,0.3409,0.4720,0.6496,0.8063,0.7861
GradientBoostingRegressor,0.2207,0.3497,0.4698,0.6455,0.8059,0.7657,0.2252,0.3453,0.4746,0.6458,0.8072,0.7824
AdaBoostRegressor,0.3797,0.4946,0.6162,0.3901,0.6579,0.6210,0.3695,0.4836,0.6079,0.4188,0.6834,0.6753
XGBRegressor,0.2184,0.3430,0.4674,0.6492,0.8062,0.7720,0.2127,0.3312,0.4612,0.6654,0.8159,0.7961
ExtraTreesRegressor,0.2120,0.3403,0.4604,0.6596,0.8121,0.7813,0.2229,0.3398,0.4722,0.6493,0.8060,0.7854
LinearRegression,0.4501,0.4210,0.6709,0.2771,0.6640,0.7256,0.3887,0.3904,0.6234,0.3887,0.6932,0.7576
KNeighborsRegressor,0.2721,0.3805,0.5217,0.5629,0.7570,0.7200,0.2708,0.3744,0.5203,0.5741,0.7615,0.7468
SVR,0.2245,0.3398,0.4738,0.6394,0.8030,0.7735,0.2357,0.3442,0.4855,0.6293,0.7974,0.7778
MLPRegressor,0.3285,0.4229,0.5732,0.4723,0.7227,0.6796,0.2360,0.3498,0.4858,0.6288,0.7987,0.7731
