,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2076,0.3359,0.4556,0.6666,0.8168,0.7833,0.2088,0.3298,0.4570,0.6716,0.8205,0.8029
DecisionTreeRegressor,0.3069,0.3873,0.5540,0.5071,0.7355,0.7166,0.2456,0.3532,0.4955,0.6138,0.7850,0.7654
RandomForestRegressor,0.2167,0.3438,0.4655,0.6519,0.8075,0.7747,0.2224,0.3406,0.4716,0.6502,0.8067,0.7872
GradientBoostingRegressor,0.2260,0.3521,0.4754,0.6370,0.8008,0.7617,0.2254,0.3465,0.4748,0.6454,0.8074,0.7795
AdaBoostRegressor,0.3876,0.5012,0.6226,0.3775,0.6524,0.6102,0.3691,0.4862,0.6075,0.4195,0.6890,0.6772
XGBRegressor,0.2157,0.3420,0.4645,0.6535,0.8089,0.7756,0.2127,0.3307,0.4612,0.6654,0.8159,0.7934
ExtraTreesRegressor,0.2105,0.3394,0.4588,0.6619,0.8136,0.7824,0.2201,0.3378,0.4691,0.6538,0.8087,0.7890
LinearRegression,0.3250,0.3862,0.5701,0.4780,0.7271,0.7434,0.3238,0.3791,0.5690,0.4907,0.7288,0.7690
KNeighborsRegressor,0.2743,0.3829,0.5237,0.5595,0.7556,0.7213,0.2718,0.3762,0.5213,0.5725,0.7607,0.7450
SVR,0.2318,0.3445,0.4814,0.6277,0.7959,0.7672,0.2399,0.3472,0.4898,0.6227,0.7938,0.7738
MLPRegressor,0.2739,0.3879,0.5233,0.5601,0.7620,0.7399,0.2365,0.3522,0.4863,0.6280,0.7952,0.7864
