,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2065,0.3338,0.4544,0.6684,0.8180,0.7853,0.2091,0.3294,0.4573,0.6711,0.8201,0.8016
DecisionTreeRegressor,0.2999,0.3850,0.5476,0.5183,0.7379,0.7166,0.2417,0.3484,0.4916,0.6198,0.7886,0.7672
RandomForestRegressor,0.2166,0.3431,0.4654,0.6521,0.8076,0.7747,0.2230,0.3411,0.4722,0.6493,0.8061,0.7858
GradientBoostingRegressor,0.2207,0.3498,0.4697,0.6456,0.8059,0.7654,0.2253,0.3454,0.4747,0.6456,0.8071,0.7822
AdaBoostRegressor,0.3839,0.4972,0.6196,0.3834,0.6540,0.6160,0.3696,0.4841,0.6079,0.4187,0.6835,0.6700
XGBRegressor,0.2184,0.3430,0.4674,0.6492,0.8062,0.7720,0.2127,0.3312,0.4612,0.6654,0.8159,0.7961
ExtraTreesRegressor,0.2144,0.3415,0.4631,0.6556,0.8097,0.7799,0.2232,0.3400,0.4724,0.6489,0.8057,0.7853
LinearRegression,0.4501,0.4210,0.6709,0.2771,0.6640,0.7256,0.3887,0.3904,0.6234,0.3887,0.6932,0.7576
KNeighborsRegressor,0.2717,0.3805,0.5212,0.5637,0.7574,0.7204,0.2727,0.3767,0.5222,0.5710,0.7595,0.7421
SVR,0.2245,0.3398,0.4738,0.6395,0.8030,0.7734,0.2357,0.3442,0.4855,0.6293,0.7974,0.7778
MLPRegressor,0.2857,0.3920,0.5345,0.5411,0.7561,0.7247,0.2394,0.3560,0.4893,0.6235,0.7944,0.7669
