,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2082,0.3357,0.4563,0.6656,0.8163,0.7854,0.2071,0.3281,0.4550,0.6743,0.8223,0.8033
DecisionTreeRegressor,0.2980,0.3814,0.5459,0.5214,0.7398,0.7212,0.2353,0.3468,0.4851,0.6299,0.7948,0.7710
RandomForestRegressor,0.2149,0.3425,0.4636,0.6548,0.8094,0.7796,0.2157,0.3357,0.4644,0.6608,0.8134,0.7933
GradientBoostingRegressor,0.2266,0.3547,0.4761,0.6360,0.8008,0.7647,0.2246,0.3476,0.4739,0.6468,0.8090,0.7796
AdaBoostRegressor,0.3914,0.5044,0.6256,0.3713,0.6485,0.6075,0.3752,0.4905,0.6125,0.4098,0.6805,0.6625
XGBRegressor,0.2174,0.3410,0.4662,0.6509,0.8073,0.7761,0.2137,0.3320,0.4623,0.6638,0.8149,0.7910
ExtraTreesRegressor,0.2102,0.3387,0.4585,0.6624,0.8139,0.7849,0.2210,0.3379,0.4701,0.6524,0.8079,0.7894
LinearRegression,0.4257,0.4059,0.6524,0.3163,0.6725,0.7367,0.3084,0.3724,0.5554,0.5149,0.7372,0.7625
KNeighborsRegressor,0.2755,0.3820,0.5249,0.5575,0.7534,0.7228,0.2675,0.3710,0.5172,0.5792,0.7641,0.7568
SVR,0.2361,0.3484,0.4859,0.6207,0.7912,0.7621,0.2464,0.3546,0.4964,0.6124,0.7872,0.7682
MLPRegressor,0.2778,0.3955,0.5271,0.5538,0.7532,0.7196,0.2497,0.3622,0.4997,0.6072,0.7801,0.7590
