,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2052,0.3336,0.4530,0.6704,0.8193,0.7868,0.2066,0.3292,0.4545,0.6751,0.8229,0.8009
DecisionTreeRegressor,0.2942,0.3817,0.5424,0.5275,0.7438,0.7238,0.2376,0.3471,0.4875,0.6263,0.7928,0.7741
RandomForestRegressor,0.2149,0.3431,0.4636,0.6549,0.8095,0.7793,0.2138,0.3349,0.4624,0.6637,0.8154,0.7944
GradientBoostingRegressor,0.2235,0.3517,0.4727,0.6411,0.8036,0.7666,0.2195,0.3433,0.4685,0.6548,0.8141,0.7865
AdaBoostRegressor,0.3857,0.5017,0.6210,0.3806,0.6565,0.6106,0.3682,0.4844,0.6068,0.4208,0.6895,0.6705
XGBRegressor,0.2142,0.3406,0.4629,0.6559,0.8104,0.7787,0.2113,0.3318,0.4597,0.6676,0.8173,0.7947
ExtraTreesRegressor,0.2141,0.3411,0.4628,0.6561,0.8100,0.7831,0.2213,0.3389,0.4705,0.6518,0.8075,0.7876
LinearRegression,0.6392,0.4703,0.7995,-0.0266,0.5931,0.6936,0.3301,0.3791,0.5746,0.4807,0.7241,0.7489
KNeighborsRegressor,0.2736,0.3820,0.5231,0.5606,0.7558,0.7233,0.2623,0.3698,0.5122,0.5874,0.7702,0.7602
SVR,0.2252,0.3412,0.4745,0.6384,0.8024,0.7728,0.2373,0.3501,0.4872,0.6267,0.7963,0.7765
MLPRegressor,0.2825,0.3945,0.5316,0.5462,0.7584,0.7206,0.2443,0.3514,0.4943,0.6157,0.7890,0.7672
