,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2052,0.3336,0.4530,0.6704,0.8193,0.7868,0.2066,0.3292,0.4545,0.6751,0.8229,0.8009
DecisionTreeRegressor,0.2942,0.3822,0.5424,0.5275,0.7445,0.7255,0.2340,0.3459,0.4837,0.6320,0.7962,0.7721
RandomForestRegressor,0.2143,0.3426,0.4630,0.6557,0.8101,0.7800,0.2141,0.3349,0.4627,0.6632,0.8150,0.7939
GradientBoostingRegressor,0.2233,0.3516,0.4725,0.6414,0.8038,0.7665,0.2191,0.3430,0.4681,0.6554,0.8144,0.7873
AdaBoostRegressor,0.3870,0.5032,0.6221,0.3784,0.6563,0.6097,0.3715,0.4884,0.6095,0.4156,0.6880,0.6703
XGBRegressor,0.2142,0.3406,0.4629,0.6559,0.8104,0.7787,0.2113,0.3318,0.4597,0.6676,0.8173,0.7947
ExtraTreesRegressor,0.2123,0.3401,0.4608,0.6590,0.8118,0.7832,0.2218,0.3389,0.4710,0.6511,0.8071,0.7877
LinearRegression,0.6392,0.4703,0.7995,-0.0266,0.5931,0.6936,0.3301,0.3791,0.5746,0.4807,0.7241,0.7489
KNeighborsRegressor,0.2737,0.3818,0.5231,0.5604,0.7558,0.7233,0.2629,0.3697,0.5127,0.5865,0.7695,0.7592
SVR,0.2251,0.3412,0.4745,0.6384,0.8024,0.7728,0.2373,0.3501,0.4872,0.6267,0.7963,0.7765
MLPRegressor,0.2995,0.4116,0.5472,0.5190,0.7411,0.7025,0.2383,0.3624,0.4881,0.6252,0.7923,0.7651
