,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2067,0.3340,0.4546,0.6681,0.8179,0.7871,0.2121,0.3322,0.4605,0.6664,0.8172,0.7972
DecisionTreeRegressor,0.3111,0.3859,0.5578,0.5003,0.7283,0.7110,0.2314,0.3418,0.4810,0.6360,0.7986,0.7789
RandomForestRegressor,0.2134,0.3406,0.4620,0.6572,0.8107,0.7810,0.2157,0.3327,0.4644,0.6607,0.8130,0.7931
GradientBoostingRegressor,0.2322,0.3591,0.4819,0.6271,0.7951,0.7573,0.2342,0.3563,0.4839,0.6317,0.7985,0.7737
AdaBoostRegressor,0.4149,0.5223,0.6441,0.3337,0.6219,0.5701,0.4023,0.5117,0.6342,0.3673,0.6473,0.6155
XGBRegressor,0.2141,0.3378,0.4627,0.6562,0.8107,0.7836,0.2074,0.3235,0.4554,0.6738,0.8211,0.8026
ExtraTreesRegressor,0.2062,0.3332,0.4541,0.6688,0.8178,0.7890,0.2137,0.3309,0.4622,0.6639,0.8150,0.7951
LinearRegression,0.3712,0.4354,0.6093,0.4038,0.6460,0.6722,0.3504,0.4280,0.5919,0.4489,0.6726,0.6902
KNeighborsRegressor,0.2847,0.3869,0.5336,0.5428,0.7429,0.7137,0.2862,0.3797,0.5350,0.5499,0.7462,0.7399
SVR,0.2469,0.3549,0.4969,0.6034,0.7804,0.7566,0.2515,0.3561,0.5015,0.6043,0.7810,0.7644
MLPRegressor,0.2615,0.3677,0.5114,0.5800,0.7682,0.7532,0.2470,0.3521,0.4970,0.6114,0.7847,0.7734
